"Plot Title:  20854980"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854980, SEN S/N: 20854980)","RH, % (LGR S/N: 20854980, SEN S/N: 20854980)","Coupler Detached (LGR S/N: 20854980)","Bad Battery (LGR S/N: 20854980)","Good Battery (LGR S/N: 20854980)","Coupler Attached (LGR S/N: 20854980)","Host Connected (LGR S/N: 20854980)","Stopped (LGR S/N: 20854980)","End Of File (LGR S/N: 20854980)"
1,08.03.20 klo 08.06.29 ip.,27.389,62.857,,,,,,,
2,08.03.20 klo 08.07.02 ip.,,,Logged,,,,,,
3,08.03.20 klo 08.36.29 ip.,25.330,39.707,,,,,,,
4,08.03.20 klo 09.06.29 ip.,25.244,43.810,,,,,,,
5,08.03.20 klo 09.36.29 ip.,25.073,43.199,,,,,,,
6,08.03.20 klo 10.06.29 ip.,24.686,43.346,,,,,,,
7,08.03.20 klo 10.36.29 ip.,24.515,42.979,,,,,,,
8,08.03.20 klo 11.06.29 ip.,24.086,42.515,,,,,,,
9,08.03.20 klo 11.36.29 ip.,23.871,41.709,,,,,,,
10,08.04.20 klo 12.06.29 ap.,23.614,41.538,,,,,,,
11,08.04.20 klo 12.36.29 ap.,23.356,41.563,,,,,,,
12,08.04.20 klo 01.06.29 ap.,23.185,42.027,,,,,,,
13,08.04.20 klo 01.36.29 ap.,23.142,41.832,,,,,,,
14,08.04.20 klo 02.06.29 ap.,23.142,41.538,,,,,,,
15,08.04.20 klo 02.36.29 ap.,23.056,41.319,,,,,,,
16,08.04.20 klo 03.06.29 ap.,23.013,41.099,,,,,,,
17,08.04.20 klo 03.36.29 ap.,22.970,40.904,,,,,,,
18,08.04.20 klo 04.06.29 ap.,22.970,40.781,,,,,,,
19,08.04.20 klo 04.36.29 ap.,22.970,40.562,,,,,,,
20,08.04.20 klo 05.06.29 ap.,22.927,40.415,,,,,,,
21,08.04.20 klo 05.36.29 ap.,22.927,40.195,,,,,,,
22,08.04.20 klo 06.06.29 ap.,22.970,39.976,,,,,,,
23,08.04.20 klo 06.36.29 ap.,23.013,39.805,,,,,,,
24,08.04.20 klo 07.06.29 ap.,22.970,39.707,,,,,,,
25,08.04.20 klo 07.36.29 ap.,22.970,39.683,,,,,,,
26,08.04.20 klo 08.06.29 ap.,23.099,39.951,,,,,,,
27,08.04.20 klo 08.36.29 ap.,23.099,39.756,,,,,,,
28,08.04.20 klo 09.06.29 ap.,23.314,41.490,,,,,,,
29,08.04.20 klo 09.36.29 ap.,22.627,41.026,,,,,,,
30,08.04.20 klo 10.06.29 ap.,22.541,40.440,,,,,,,
31,08.04.20 klo 10.36.29 ap.,22.927,40.073,,,,,,,
32,08.04.20 klo 11.06.29 ap.,23.271,38.974,,,,,,,
33,08.04.20 klo 11.36.29 ap.,23.485,39.023,,,,,,,
34,08.04.20 klo 12.06.29 ip.,23.871,38.217,,,,,,,
35,08.04.20 klo 12.36.29 ip.,23.871,37.338,,,,,,,
36,08.04.20 klo 01.06.29 ip.,24.644,35.556,,,,,,,
37,08.04.20 klo 01.36.29 ip.,24.429,33.651,,,,,,,
38,08.04.20 klo 02.06.29 ip.,24.129,36.044,,,,,,,
39,08.04.20 klo 02.36.29 ip.,23.828,35.287,,,,,,,
40,08.04.20 klo 03.06.29 ip.,23.442,39.267,,,,,,,
41,08.04.20 klo 03.36.29 ip.,24.000,35.311,,,,,,,
42,08.04.20 klo 04.06.29 ip.,23.185,37.460,,,,,,,
43,08.04.20 klo 04.36.29 ip.,23.142,38.608,,,,,,,
44,08.04.20 klo 05.06.29 ip.,22.670,41.148,,,,,,,
45,08.04.20 klo 05.36.29 ip.,23.228,41.392,,,,,,,
46,08.04.20 klo 06.06.29 ip.,22.284,42.979,,,,,,,
47,08.04.20 klo 06.36.29 ip.,21.941,44.274,,,,,,,
48,08.04.20 klo 07.06.29 ip.,22.284,44.444,,,,,,,
49,08.04.20 klo 07.36.29 ip.,21.555,47.473,,,,,,,
50,08.04.20 klo 08.06.29 ip.,22.370,47.937,,,,,,,
51,08.04.20 klo 08.36.29 ip.,22.885,46.520,,,,,,,
52,08.04.20 klo 09.06.29 ip.,22.713,46.471,,,,,,,
53,08.04.20 klo 09.36.29 ip.,22.498,46.593,,,,,,,
