"Plot Title: 20854984"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854984, SEN S/N: 20854984)","RH, % (LGR S/N: 20854984, SEN S/N: 20854984)","Coupler Detached (LGR S/N: 20854984)","Bad Battery (LGR S/N: 20854984)","Good Battery (LGR S/N: 20854984)","Coupler Attached (LGR S/N: 20854984)","Host Connected (LGR S/N: 20854984)","Stopped (LGR S/N: 20854984)","End Of File (LGR S/N: 20854984)"
1,08.04.20 klo 08.13.35 ip.,23.485,46.471,,,,,,,
2,08.04.20 klo 08.13.45 ip.,,,Logged,,,,,,
3,08.04.20 klo 08.43.35 ip.,23.013,45.690,,,,,,,
4,08.04.20 klo 09.13.35 ip.,22.885,45.714,,,,,,,
5,08.04.20 klo 09.43.35 ip.,22.842,45.226,,,,,,,
6,08.04.20 klo 10.13.35 ip.,22.713,44.957,,,,,,,
7,08.04.20 klo 10.43.35 ip.,22.584,44.835,,,,,,,
8,08.04.20 klo 11.13.35 ip.,22.498,44.542,,,,,,,
9,08.04.20 klo 11.43.35 ip.,22.370,44.322,,,,,,,
10,08.05.20 klo 12.13.35 ap.,22.413,43.785,,,,,,,
11,08.05.20 klo 12.43.35 ap.,22.413,43.785,,,,,,,
12,08.05.20 klo 01.13.35 ap.,22.456,43.370,,,,,,,
13,08.05.20 klo 01.43.35 ap.,22.498,43.175,,,,,,,
14,08.05.20 klo 02.13.35 ap.,22.498,42.906,,,,,,,
15,08.05.20 klo 02.43.35 ap.,22.541,42.833,,,,,,,
16,08.05.20 klo 03.13.35 ap.,22.584,42.637,,,,,,,
17,08.05.20 klo 03.43.35 ap.,22.541,42.589,,,,,,,
18,08.05.20 klo 04.13.35 ap.,22.541,42.418,,,,,,,
19,08.05.20 klo 04.43.35 ap.,22.541,42.247,,,,,,,
20,08.05.20 klo 05.13.35 ap.,22.584,42.149,,,,,,,
21,08.05.20 klo 05.43.35 ap.,22.584,42.002,,,,,,,
22,08.05.20 klo 06.13.35 ap.,22.627,41.832,,,,,,,
23,08.05.20 klo 06.43.35 ap.,22.627,41.758,,,,,,,
24,08.05.20 klo 07.13.35 ap.,22.627,41.587,,,,,,,
25,08.05.20 klo 07.43.35 ap.,22.627,41.441,,,,,,,
26,08.05.20 klo 08.13.35 ap.,22.670,41.490,,,,,,,
27,08.05.20 klo 08.43.35 ap.,22.670,41.245,,,,,,,
28,08.05.20 klo 09.13.35 ap.,22.799,41.368,,,,,,,
29,08.05.20 klo 09.43.35 ap.,22.885,42.149,,,,,,,
30,08.05.20 klo 10.13.35 ap.,22.842,41.636,,,,,,,
31,08.05.20 klo 10.43.35 ap.,22.885,41.197,,,,,,,
32,08.05.20 klo 11.13.35 ap.,22.927,40.904,,,,,,,
33,08.05.20 klo 11.43.35 ap.,23.099,42.564,,,,,,,
34,08.05.20 klo 12.13.35 ip.,23.399,41.905,,,,,,,
35,08.05.20 klo 12.43.35 ip.,23.614,40.757,,,,,,,
36,08.05.20 klo 01.13.35 ip.,23.528,40.440,,,,,,,
37,08.05.20 klo 01.43.35 ip.,23.614,40.366,,,,,,,
38,08.05.20 klo 02.13.35 ip.,23.871,39.707,,,,,,,
39,08.05.20 klo 02.43.35 ip.,24.043,39.072,,,,,,,
40,08.05.20 klo 03.13.35 ip.,24.172,39.096,,,,,,,
41,08.05.20 klo 03.43.35 ip.,24.257,38.706,,,,,,,
42,08.05.20 klo 04.13.35 ip.,23.871,39.365,,,,,,,
43,08.05.20 klo 04.43.35 ip.,24.214,39.658,,,,,,,
44,08.05.20 klo 05.13.35 ip.,24.686,39.756,,,,,,,
45,08.05.20 klo 05.43.35 ip.,24.000,41.441,,,,,,,
46,08.05.20 klo 06.13.35 ip.,22.670,43.516,,,,,,,
47,08.05.20 klo 06.43.35 ip.,24.729,38.242,,,,,,,
48,08.05.20 klo 07.13.35 ip.,14.047,68.278,,,,,,,
49,08.05.20 klo 07.43.35 ip.,12.503,79.683,,,,,,,
50,08.05.20 klo 08.13.35 ip.,12.117,80.195,,,,,,,
51,08.05.20 klo 08.43.35 ip.,12.374,79.194,,,,,,,
52,08.05.20 klo 09.13.35 ip.,12.031,78.901,,,,,,,
53,08.05.20 klo 09.43.35 ip.,12.031,77.998,,,,,,,
54,08.05.20 klo 10.13.35 ip.,11.559,80.830,,,,,,,
55,08.05.20 klo 10.43.35 ip.,11.001,84.786,,,,,,,
56,08.05.20 klo 11.13.35 ip.,10.658,87.448,,,,,,,
57,08.05.20 klo 11.43.35 ip.,10.529,88.474,,,,,,,
58,08.06.20 klo 12.13.35 ap.,10.358,89.573,,,,,,,
59,08.06.20 klo 12.43.35 ap.,9.800,91.233,,,,,,,
