"Plot Title:  20854975"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854975, SEN S/N: 20854975)","RH, % (LGR S/N: 20854975, SEN S/N: 20854975)","Coupler Detached (LGR S/N: 20854975)","Coupler Attached (LGR S/N: 20854975)","Host Connected (LGR S/N: 20854975)","Stopped (LGR S/N: 20854975)","End Of File (LGR S/N: 20854975)"
1,08.03.20 klo 08.08.52 ip.,24.300,42.418,,,,,
2,08.03.20 klo 08.09.19 ip.,,,Logged,,,,
3,08.03.20 klo 08.38.52 ip.,26.016,38.706,,,,,
4,08.03.20 klo 09.08.52 ip.,25.716,42.173,,,,,
5,08.03.20 klo 09.38.52 ip.,25.373,42.344,,,,,
6,08.03.20 klo 10.08.52 ip.,25.073,42.222,,,,,
7,08.03.20 klo 10.38.52 ip.,24.644,42.149,,,,,
8,08.03.20 klo 11.08.52 ip.,24.257,41.905,,,,,
9,08.03.20 klo 11.38.52 ip.,23.871,41.538,,,,,
10,08.04.20 klo 12.08.52 ap.,23.571,41.392,,,,,
11,08.04.20 klo 12.38.52 ap.,23.314,41.416,,,,,
12,08.04.20 klo 01.08.52 ap.,23.228,41.709,,,,,
13,08.04.20 klo 01.38.52 ap.,23.185,41.465,,,,,
14,08.04.20 klo 02.08.52 ap.,23.185,41.197,,,,,
15,08.04.20 klo 02.38.52 ap.,23.099,40.952,,,,,
16,08.04.20 klo 03.08.52 ap.,23.056,40.830,,,,,
17,08.04.20 klo 03.38.52 ap.,23.013,40.611,,,,,
18,08.04.20 klo 04.08.52 ap.,22.927,40.464,,,,,
19,08.04.20 klo 04.38.52 ap.,22.970,40.269,,,,,
20,08.04.20 klo 05.08.52 ap.,23.013,40.024,,,,,
21,08.04.20 klo 05.38.52 ap.,23.013,39.805,,,,,
22,08.04.20 klo 06.08.52 ap.,23.013,39.609,,,,,
23,08.04.20 klo 06.38.52 ap.,23.056,39.438,,,,,
24,08.04.20 klo 07.08.52 ap.,23.013,39.316,,,,,
25,08.04.20 klo 07.38.52 ap.,23.099,39.194,,,,,
26,08.04.20 klo 08.08.52 ap.,23.099,40.830,,,,,
27,08.04.20 klo 08.38.52 ap.,22.842,40.855,,,,,
28,08.04.20 klo 09.08.52 ap.,22.970,42.393,,,,,
29,08.04.20 klo 09.38.52 ap.,22.756,40.977,,,,,
30,08.04.20 klo 10.08.52 ap.,22.327,41.929,,,,,
31,08.04.20 klo 10.38.52 ap.,22.241,41.978,,,,,
32,08.04.20 klo 11.08.52 ap.,22.198,42.247,,,,,
33,08.04.20 klo 11.38.52 ap.,21.640,35.018,,,,,
34,08.04.20 klo 12.08.52 ip.,18.423,45.299,,,,,
35,08.04.20 klo 12.38.52 ip.,19.453,38.779,,,,,
36,08.04.20 klo 01.08.52 ip.,25.502,30.037,,,,,
37,08.04.20 klo 01.38.52 ip.,19.024,41.880,,,,,
38,08.04.20 klo 02.08.52 ip.,20.740,34.554,,,,,
39,08.04.20 klo 02.38.52 ip.,17.951,41.880,,,,,
40,08.04.20 klo 03.08.52 ip.,18.637,41.978,,,,,
41,08.04.20 klo 03.38.52 ip.,20.911,37.631,,,,,
42,08.04.20 klo 04.08.52 ip.,20.997,35.800,,,,,
43,08.04.20 klo 04.38.52 ip.,20.482,39.731,,,,,
44,08.04.20 klo 05.08.52 ip.,17.350,53.309,,,,,
45,08.04.20 klo 05.38.52 ip.,17.651,51.746,,,,,
46,08.04.20 klo 06.08.52 ip.,17.350,55.604,,,,,
