"Plot Title:  20864572"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864572, SEN S/N: 20864572)","RH, % (LGR S/N: 20864572, SEN S/N: 20864572)","Coupler Detached (LGR S/N: 20864572)","End Of File (LGR S/N: 20864572)"
1,08.09.20 klo 02.09.19 ip.,22.670,41.807,,
2,08.09.20 klo 02.09.33 ip.,,,Logged,
3,08.09.20 klo 02.39.19 ip.,23.185,41.050,,
4,08.09.20 klo 03.09.19 ip.,23.142,40.977,,
5,08.09.20 klo 03.39.19 ip.,23.314,41.343,,
6,08.09.20 klo 04.09.19 ip.,23.442,40.366,,
7,08.09.20 klo 04.39.19 ip.,23.528,39.609,,
8,08.09.20 klo 05.09.19 ip.,23.657,39.683,,
9,08.09.20 klo 05.39.19 ip.,23.657,40.098,,
10,08.09.20 klo 06.09.19 ip.,23.614,39.951,,
11,08.09.20 klo 06.39.19 ip.,23.528,39.756,,
12,08.09.20 klo 07.09.19 ip.,23.485,39.707,,
13,08.09.20 klo 07.39.19 ip.,23.399,39.585,,
14,08.09.20 klo 08.09.19 ip.,23.442,40.220,,
15,08.09.20 klo 08.39.19 ip.,23.442,39.976,,
16,08.09.20 klo 09.09.19 ip.,23.485,39.853,,
17,08.09.20 klo 09.39.19 ip.,23.442,39.096,,
18,08.09.20 klo 10.09.19 ip.,23.399,38.755,,
19,08.09.20 klo 10.39.19 ip.,23.442,38.852,,
20,08.09.20 klo 11.09.19 ip.,23.314,38.608,,
21,08.09.20 klo 11.39.19 ip.,23.228,38.681,,
22,08.10.20 klo 12.09.19 ap.,23.142,38.388,,
23,08.10.20 klo 12.39.19 ap.,23.099,38.462,,
24,08.10.20 klo 01.09.19 ap.,23.056,38.706,,
25,08.10.20 klo 01.39.19 ap.,23.013,38.779,,
26,08.10.20 klo 02.09.19 ap.,22.927,38.974,,
27,08.10.20 klo 02.39.19 ap.,22.885,38.657,,
28,08.10.20 klo 03.09.19 ap.,22.799,38.437,,
29,08.10.20 klo 03.39.19 ap.,22.713,37.265,,
30,08.10.20 klo 04.09.19 ap.,22.713,38.217,,
31,08.10.20 klo 04.39.19 ap.,22.670,38.339,,
32,08.10.20 klo 05.09.19 ap.,22.627,38.217,,
33,08.10.20 klo 05.39.19 ap.,22.627,38.046,,
34,08.10.20 klo 06.09.19 ap.,22.584,38.046,,
35,08.10.20 klo 06.39.19 ap.,22.584,38.217,,
36,08.10.20 klo 07.09.19 ap.,22.627,38.437,,
37,08.10.20 klo 07.39.19 ap.,22.584,38.608,,
38,08.10.20 klo 08.09.19 ap.,22.627,38.877,,
39,08.10.20 klo 08.39.19 ap.,22.584,38.510,,
