"Plot Title: 20854965"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854965, SEN S/N: 20854965)","RH, % (LGR S/N: 20854965, SEN S/N: 20854965)","Coupler Detached (LGR S/N: 20854965)","Coupler Attached (LGR S/N: 20854965)","Host Connected (LGR S/N: 20854965)","Stopped (LGR S/N: 20854965)","End Of File (LGR S/N: 20854965)"
1,08.04.20 klo 08.15.18 ip.,22.885,50.256,,,,,
2,08.04.20 klo 08.15.29 ip.,,,Logged,,,,
3,08.04.20 klo 08.45.18 ip.,22.885,46.496,,,,,
4,08.04.20 klo 09.15.18 ip.,22.799,46.520,,,,,
5,08.04.20 klo 09.45.18 ip.,22.713,45.958,,,,,
6,08.04.20 klo 10.15.18 ip.,22.584,45.812,,,,,
7,08.04.20 klo 10.45.18 ip.,22.370,45.836,,,,,
8,08.04.20 klo 11.15.18 ip.,22.284,45.641,,,,,
9,08.04.20 klo 11.45.18 ip.,22.198,45.153,,,,,
10,08.05.20 klo 12.15.18 ap.,22.327,44.420,,,,,
11,08.05.20 klo 12.45.18 ap.,22.327,44.225,,,,,
12,08.05.20 klo 01.15.18 ap.,22.327,43.980,,,,,
13,08.05.20 klo 01.45.18 ap.,22.370,43.663,,,,,
14,08.05.20 klo 02.15.18 ap.,22.370,43.614,,,,,
15,08.05.20 klo 02.45.18 ap.,22.456,43.419,,,,,
16,08.05.20 klo 03.15.18 ap.,22.456,43.321,,,,,
17,08.05.20 klo 03.45.18 ap.,22.413,43.199,,,,,
18,08.05.20 klo 04.15.18 ap.,22.456,43.126,,,,,
19,08.05.20 klo 04.45.18 ap.,22.456,42.979,,,,,
20,08.05.20 klo 05.15.18 ap.,22.498,42.784,,,,,
21,08.05.20 klo 05.45.18 ap.,22.498,42.613,,,,,
22,08.05.20 klo 06.15.18 ap.,22.541,42.515,,,,,
23,08.05.20 klo 06.45.18 ap.,22.584,42.320,,,,,
24,08.05.20 klo 07.15.18 ap.,22.584,42.173,,,,,
25,08.05.20 klo 07.45.18 ap.,22.584,42.027,,,,,
26,08.05.20 klo 08.15.18 ap.,22.627,42.076,,,,,
27,08.05.20 klo 08.45.18 ap.,22.713,41.661,,,,,
28,08.05.20 klo 09.15.18 ap.,22.927,41.954,,,,,
29,08.05.20 klo 09.45.18 ap.,22.842,43.004,,,,,
30,08.05.20 klo 10.15.18 ap.,22.885,42.051,,,,,
31,08.05.20 klo 10.45.18 ap.,22.885,41.783,,,,,
32,08.05.20 klo 11.15.18 ap.,22.927,41.612,,,,,
33,08.05.20 klo 11.45.18 ap.,23.228,42.515,,,,,
34,08.05.20 klo 12.15.18 ip.,23.185,42.662,,,,,
35,08.05.20 klo 12.45.18 ip.,23.399,41.734,,,,,
36,08.05.20 klo 01.15.18 ip.,23.485,41.074,,,,,
37,08.05.20 klo 01.45.18 ip.,23.571,40.830,,,,,
38,08.05.20 klo 02.15.18 ip.,23.871,39.927,,,,,
39,08.05.20 klo 02.45.18 ip.,24.043,39.438,,,,,
40,08.05.20 klo 03.15.18 ip.,24.000,39.512,,,,,
41,08.05.20 klo 03.45.18 ip.,24.043,39.463,,,,,
42,08.05.20 klo 04.15.18 ip.,23.785,39.927,,,,,
43,08.05.20 klo 04.45.18 ip.,24.000,40.464,,,,,
44,08.05.20 klo 05.15.18 ip.,24.172,40.806,,,,,
45,08.05.20 klo 05.45.18 ip.,23.785,41.783,,,,,
46,08.05.20 klo 06.15.18 ip.,23.743,42.369,,,,,
47,08.05.20 klo 06.45.18 ip.,23.442,41.734,,,,,
48,08.05.20 klo 07.15.18 ip.,23.271,41.807,,,,,
49,08.05.20 klo 07.45.18 ip.,23.099,43.443,,,,,
50,08.05.20 klo 08.15.18 ip.,22.970,44.518,,,,,
51,08.05.20 klo 08.45.18 ip.,22.842,44.347,,,,,
52,08.05.20 klo 09.15.18 ip.,22.713,43.980,,,,,
53,08.05.20 klo 09.45.18 ip.,22.584,43.663,,,,,
54,08.05.20 klo 10.15.18 ip.,22.498,43.687,,,,,
55,08.05.20 klo 10.45.18 ip.,22.327,43.565,,,,,
56,08.05.20 klo 11.15.18 ip.,22.284,43.834,,,,,
57,08.05.20 klo 11.45.18 ip.,22.069,44.054,,,,,
58,08.06.20 klo 12.15.18 ap.,22.027,44.103,,,,,
59,08.06.20 klo 12.45.18 ap.,21.898,43.712,,,,,
60,08.06.20 klo 01.15.18 ap.,21.769,43.516,,,,,
61,08.06.20 klo 01.45.18 ap.,21.683,42.906,,,,,
62,08.06.20 klo 02.15.18 ap.,21.469,42.295,,,,,
63,08.06.20 klo 02.45.18 ap.,21.340,41.978,,,,,
64,08.06.20 klo 03.15.18 ap.,21.211,41.465,,,,,
65,08.06.20 klo 03.45.18 ap.,21.211,41.099,,,,,
66,08.06.20 klo 04.15.18 ap.,21.169,40.952,,,,,
67,08.06.20 klo 04.45.18 ap.,21.169,40.757,,,,,
68,08.06.20 klo 05.15.18 ap.,21.211,40.440,,,,,
69,08.06.20 klo 05.45.18 ap.,21.211,40.317,,,,,
70,08.06.20 klo 06.15.18 ap.,21.297,40.293,,,,,
71,08.06.20 klo 06.45.18 ap.,21.426,40.415,,,,,
72,08.06.20 klo 07.15.18 ap.,21.598,41.368,,,,,
73,08.06.20 klo 07.45.18 ap.,21.598,41.245,,,,,
74,08.06.20 klo 08.15.18 ap.,21.640,41.734,,,,,
75,08.06.20 klo 08.45.18 ap.,21.898,42.076,,,,,
76,08.06.20 klo 09.15.18 ap.,21.941,43.321,,,,,
77,08.06.20 klo 09.45.18 ap.,22.069,43.858,,,,,
78,08.06.20 klo 10.15.18 ap.,22.198,43.272,,,,,
79,08.06.20 klo 10.45.18 ap.,22.541,43.346,,,,,
80,08.06.20 klo 11.15.18 ap.,22.670,43.004,,,,,
81,08.06.20 klo 11.45.18 ap.,22.799,43.199,,,,,
82,08.06.20 klo 12.15.18 ip.,22.970,42.442,,,,,
83,08.06.20 klo 12.45.18 ip.,23.056,42.662,,,,,
84,08.06.20 klo 01.15.18 ip.,23.271,41.563,,,,,
85,08.06.20 klo 01.45.18 ip.,23.571,40.024,,,,,
86,08.06.20 klo 02.15.18 ip.,23.957,38.730,,,,,
87,08.06.20 klo 02.45.18 ip.,24.214,37.656,,,,,
88,08.06.20 klo 03.15.18 ip.,24.515,36.874,,,,,
89,08.06.20 klo 03.45.18 ip.,24.772,35.971,,,,,
90,08.06.20 klo 04.15.18 ip.,24.772,35.604,,,,,
91,08.06.20 klo 04.45.18 ip.,24.515,35.971,,,,,
92,08.06.20 klo 05.15.18 ip.,24.214,35.995,,,,,
93,08.06.20 klo 05.45.18 ip.,24.214,36.923,,,,,
94,08.06.20 klo 06.15.18 ip.,24.043,36.923,,,,,
95,08.06.20 klo 06.45.18 ip.,23.657,38.657,,,,,
96,08.06.20 klo 07.15.18 ip.,23.399,38.584,,,,,
97,08.06.20 klo 07.45.18 ip.,23.228,39.707,,,,,
98,08.06.20 klo 08.15.18 ip.,23.013,42.295,,,,,
99,08.06.20 klo 08.45.18 ip.,22.799,42.247,,,,,
100,08.06.20 klo 09.15.18 ip.,22.584,40.488,,,,,
101,08.06.20 klo 09.45.18 ip.,22.327,41.294,,,,,
102,08.06.20 klo 10.15.18 ip.,22.112,42.540,,,,,
103,08.06.20 klo 10.45.18 ip.,21.984,44.151,,,,,
104,08.06.20 klo 11.15.18 ip.,21.855,44.396,,,,,
105,08.06.20 klo 11.45.18 ip.,21.769,44.420,,,,,
106,08.07.20 klo 12.15.18 ap.,21.683,44.811,,,,,
107,08.07.20 klo 12.45.18 ap.,21.598,45.812,,,,,
108,08.07.20 klo 01.15.18 ap.,21.383,46.789,,,,,
109,08.07.20 klo 01.45.18 ap.,21.297,46.984,,,,,
110,08.07.20 klo 02.15.18 ap.,21.254,47.057,,,,,
111,08.07.20 klo 02.45.18 ap.,21.254,47.057,,,,,
112,08.07.20 klo 03.15.18 ap.,21.254,47.106,,,,,
113,08.07.20 klo 03.45.18 ap.,21.254,47.277,,,,,
114,08.07.20 klo 04.15.18 ap.,21.126,47.668,,,,,
115,08.07.20 klo 04.45.18 ap.,21.040,47.814,,,,,
