"Plot Title:  20864574"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864574, SEN S/N: 20864574)","RH, % (LGR S/N: 20864574, SEN S/N: 20864574)","Coupler Detached (LGR S/N: 20864574)","Bad Battery (LGR S/N: 20864574)","End Of File (LGR S/N: 20864574)"
1,08.09.20 klo 02.06.59 ip.,22.970,41.368,,,
2,08.09.20 klo 02.07.11 ip.,,,Logged,,
3,08.09.20 klo 02.36.59 ip.,23.142,42.173,,,
4,08.09.20 klo 03.06.59 ip.,23.013,43.175,,,
5,08.09.20 klo 03.36.59 ip.,23.013,43.150,,,
6,08.09.20 klo 04.06.59 ip.,23.099,42.589,,,
7,08.09.20 klo 04.36.59 ip.,23.185,41.197,,,
8,08.09.20 klo 05.06.59 ip.,23.228,41.563,,,
9,08.09.20 klo 05.36.59 ip.,23.271,41.587,,,
10,08.09.20 klo 06.06.59 ip.,23.271,41.197,,,
11,08.09.20 klo 06.36.59 ip.,23.271,41.074,,,
12,08.09.20 klo 07.06.59 ip.,23.185,40.904,,,
13,08.09.20 klo 07.36.59 ip.,23.185,40.830,,,
14,08.09.20 klo 08.06.59 ip.,23.142,41.245,,,
15,08.09.20 klo 08.36.59 ip.,23.185,41.197,,,
16,08.09.20 klo 09.06.59 ip.,23.142,40.830,,,
17,08.09.20 klo 09.36.59 ip.,23.185,40.611,,,
18,08.09.20 klo 10.06.59 ip.,23.142,40.195,,,
19,08.09.20 klo 10.36.59 ip.,23.142,39.976,,,
20,08.09.20 klo 11.06.59 ip.,23.099,39.267,,,
21,08.09.20 klo 11.36.59 ip.,23.056,39.585,,,
22,08.10.20 klo 12.06.59 ap.,23.013,39.878,,,
23,08.10.20 klo 12.36.59 ap.,22.970,39.829,,,
24,08.10.20 klo 01.06.59 ap.,22.927,39.805,,,
25,08.10.20 klo 01.36.59 ap.,22.842,39.609,,,
26,08.10.20 klo 02.06.59 ap.,22.799,39.536,,,
27,08.10.20 klo 02.36.59 ap.,22.756,39.438,,,
28,08.10.20 klo 03.06.59 ap.,22.670,39.194,,,
29,08.10.20 klo 03.36.59 ap.,22.627,38.974,,,
30,08.10.20 klo 04.06.59 ap.,22.584,38.828,,,
31,08.10.20 klo 04.36.59 ap.,22.541,38.828,,,
32,08.10.20 klo 05.06.59 ap.,22.498,38.803,,,
33,08.10.20 klo 05.36.59 ap.,22.456,38.584,,,
34,08.10.20 klo 06.06.59 ap.,22.456,38.657,,,
35,08.10.20 klo 06.36.59 ap.,22.456,38.901,,,
36,08.10.20 klo 07.06.59 ap.,22.413,39.072,,,
37,08.10.20 klo 07.36.59 ap.,22.456,39.145,,,
38,08.10.20 klo 08.06.59 ap.,22.413,39.292,,,
39,08.10.20 klo 08.36.59 ap.,22.456,38.950,,,
40,08.10.20 klo 09.06.59 ap.,22.413,38.926,,,
41,08.10.20 klo 09.36.59 ap.,22.370,38.779,,,
42,08.10.20 klo 10.06.59 ap.,22.370,38.950,,,
43,08.10.20 klo 10.36.59 ap.,22.413,38.803,,,
44,08.10.20 klo 11.06.59 ap.,22.370,38.730,,,
45,08.10.20 klo 11.36.59 ap.,22.327,38.535,,,
46,08.10.20 klo 12.06.59 ip.,22.327,38.437,,,
47,08.10.20 klo 12.36.59 ip.,22.327,38.339,,,
48,08.10.20 klo 01.06.59 ip.,22.327,38.388,,,
49,08.10.20 klo 01.36.59 ip.,22.284,38.413,,,
50,08.10.20 klo 02.06.59 ip.,22.327,38.388,,,
51,08.10.20 klo 02.36.59 ip.,22.284,38.388,,,
52,08.10.20 klo 03.06.59 ip.,22.241,38.413,,,
53,08.10.20 klo 03.36.59 ip.,22.241,38.535,,,
54,08.10.20 klo 04.06.59 ip.,22.198,38.535,,,
55,08.10.20 klo 04.36.59 ip.,22.198,38.608,,,
56,08.10.20 klo 05.06.59 ip.,22.198,38.584,,,
57,08.10.20 klo 05.36.59 ip.,22.198,38.852,,,
58,08.10.20 klo 06.06.59 ip.,22.198,39.512,,,
59,08.10.20 klo 06.36.59 ip.,22.198,39.585,,,
60,08.10.20 klo 07.06.59 ip.,22.241,40.000,,,
61,08.10.20 klo 07.36.59 ip.,22.241,40.024,,,
62,08.10.20 klo 08.06.59 ip.,22.284,40.049,,,
63,08.10.20 klo 08.36.59 ip.,22.284,40.122,,,
64,08.10.20 klo 09.06.59 ip.,22.327,40.342,,,
65,08.10.20 klo 09.36.59 ip.,22.327,40.440,,,
66,08.10.20 klo 10.06.59 ip.,22.327,40.122,,,
67,08.10.20 klo 10.36.59 ip.,22.284,40.195,,,
68,08.10.20 klo 11.06.59 ip.,22.241,40.195,,,
69,08.10.20 klo 11.36.59 ip.,22.198,40.171,,,
70,08.11.20 klo 12.06.59 ap.,22.155,40.098,,,
71,08.11.20 klo 12.36.59 ap.,22.112,40.098,,,
72,08.11.20 klo 01.06.59 ap.,22.069,40.049,,,
