"Plot Title:  20849236"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849236, SEN S/N: 20849236)","RH, % (LGR S/N: 20849236, SEN S/N: 20849236)","Coupler Detached (LGR S/N: 20849236)","Bad Battery (LGR S/N: 20849236)","Good Battery (LGR S/N: 20849236)","Coupler Attached (LGR S/N: 20849236)","Host Connected (LGR S/N: 20849236)","Stopped (LGR S/N: 20849236)","End Of File (LGR S/N: 20849236)"
1,08.16.20 klo 03.27.08 ip.,22.498,37.070,,,,,,,
2,08.16.20 klo 03.27.18 ip.,,,Logged,,,,,,
3,08.16.20 klo 03.57.08 ip.,22.627,35.702,,,,,,,
4,08.16.20 klo 04.27.08 ip.,22.498,35.629,,,,,,,
5,08.16.20 klo 04.57.08 ip.,22.456,35.702,,,,,,,
6,08.16.20 klo 05.27.08 ip.,22.413,35.751,,,,,,,
7,08.16.20 klo 05.57.08 ip.,22.370,35.433,,,,,,,
8,08.16.20 klo 06.27.08 ip.,22.327,35.311,,,,,,,
9,08.16.20 klo 06.57.08 ip.,22.284,35.116,,,,,,,
10,08.16.20 klo 07.27.08 ip.,22.198,34.969,,,,,,,
11,08.16.20 klo 07.57.08 ip.,22.155,35.067,,,,,,,
12,08.16.20 klo 08.27.08 ip.,22.155,35.092,,,,,,,
13,08.16.20 klo 08.57.08 ip.,22.112,34.994,,,,,,,
14,08.16.20 klo 09.27.08 ip.,22.155,34.994,,,,,,,
15,08.16.20 klo 09.57.08 ip.,22.155,34.872,,,,,,,
16,08.16.20 klo 10.27.08 ip.,22.112,34.774,,,,,,,
17,08.16.20 klo 10.57.08 ip.,22.027,34.335,,,,,,,
18,08.16.20 klo 11.27.08 ip.,21.984,34.042,,,,,,,
19,08.16.20 klo 11.57.08 ip.,21.855,33.846,,,,,,,
20,08.17.20 klo 12.27.08 ap.,21.769,33.626,,,,,,,
21,08.17.20 klo 12.57.08 ap.,21.769,33.553,,,,,,,
22,08.17.20 klo 01.27.08 ap.,21.726,33.358,,,,,,,
23,08.17.20 klo 01.57.08 ap.,21.683,33.284,,,,,,,
24,08.17.20 klo 02.27.08 ap.,21.598,33.626,,,,,,,
25,08.17.20 klo 02.57.08 ap.,21.555,33.700,,,,,,,
26,08.17.20 klo 03.27.08 ap.,21.598,33.895,,,,,,,
27,08.17.20 klo 03.57.08 ap.,21.555,34.115,,,,,,,
28,08.17.20 klo 04.27.08 ap.,21.512,34.188,,,,,,,
29,08.17.20 klo 04.57.08 ap.,21.512,34.481,,,,,,,
30,08.17.20 klo 05.27.08 ap.,21.555,34.750,,,,,,,
31,08.17.20 klo 05.57.08 ap.,21.555,34.847,,,,,,,
32,08.17.20 klo 06.27.08 ap.,21.512,34.799,,,,,,,
33,08.17.20 klo 06.57.08 ap.,21.512,34.823,,,,,,,
34,08.17.20 klo 07.27.08 ap.,21.555,34.945,,,,,,,
35,08.17.20 klo 07.57.08 ap.,21.555,35.238,,,,,,,
36,08.17.20 klo 08.27.08 ap.,21.555,34.896,,,,,,,
37,08.17.20 klo 08.57.08 ap.,21.555,34.579,,,,,,,
38,08.17.20 klo 09.27.08 ap.,21.469,34.530,,,,,,,
39,08.17.20 klo 09.57.08 ap.,21.469,34.628,,,,,,,
40,08.17.20 klo 10.27.08 ap.,21.512,34.725,,,,,,,
41,08.17.20 klo 10.57.08 ap.,21.555,34.774,,,,,,,
42,08.17.20 klo 11.27.08 ap.,21.555,34.628,,,,,,,
43,08.17.20 klo 11.57.08 ap.,21.598,34.652,,,,,,,
44,08.17.20 klo 12.27.08 ip.,21.683,34.945,,,,,,,
45,08.17.20 klo 12.57.08 ip.,21.812,34.994,,,,,,,
46,08.17.20 klo 01.27.08 ip.,21.941,34.823,,,,,,,
47,08.17.20 klo 01.57.08 ip.,22.027,34.750,,,,,,,
48,08.17.20 klo 02.27.08 ip.,22.069,34.652,,,,,,,
49,08.17.20 klo 02.57.08 ip.,22.069,34.481,,,,,,,
50,08.17.20 klo 03.27.08 ip.,22.069,34.261,,,,,,,
51,08.17.20 klo 03.57.08 ip.,22.027,34.017,,,,,,,
52,08.17.20 klo 04.27.08 ip.,22.069,33.919,,,,,,,
53,08.17.20 klo 04.57.08 ip.,22.069,34.090,,,,,,,
54,08.17.20 klo 05.27.08 ip.,22.027,33.919,,,,,,,
55,08.17.20 klo 05.57.08 ip.,21.683,33.162,,,,,,,
56,08.17.20 klo 06.27.08 ip.,21.683,33.480,,,,,,,
57,08.17.20 klo 06.57.08 ip.,21.640,33.431,,,,,,,
58,08.17.20 klo 07.27.08 ip.,21.640,33.358,,,,,,,
59,08.17.20 klo 07.57.08 ip.,21.683,33.602,,,,,,,
60,08.17.20 klo 08.27.08 ip.,21.640,33.651,,,,,,,
61,08.17.20 klo 08.57.08 ip.,21.640,33.822,,,,,,,
62,08.17.20 klo 09.27.08 ip.,21.640,33.895,,,,,,,
63,08.17.20 klo 09.57.08 ip.,21.640,34.042,,,,,,,
64,08.17.20 klo 10.27.08 ip.,21.683,34.310,,,,,,,
65,08.17.20 klo 10.57.08 ip.,21.640,34.603,,,,,,,
66,08.17.20 klo 11.27.08 ip.,21.640,34.774,,,,,,,
67,08.17.20 klo 11.57.08 ip.,21.598,34.896,,,,,,,
68,08.18.20 klo 12.27.08 ap.,21.555,34.994,,,,,,,
69,08.18.20 klo 12.57.08 ap.,21.512,35.092,,,,,,,
70,08.18.20 klo 01.27.08 ap.,21.512,35.214,,,,,,,
71,08.18.20 klo 01.57.08 ap.,21.512,35.287,,,,,,,
72,08.18.20 klo 02.27.08 ap.,21.469,35.263,,,,,,,
73,08.18.20 klo 02.57.08 ap.,21.426,35.311,,,,,,,
74,08.18.20 klo 03.27.08 ap.,21.426,35.385,,,,,,,
75,08.18.20 klo 03.57.08 ap.,21.426,35.433,,,,,,,
76,08.18.20 klo 04.27.08 ap.,21.426,35.458,,,,,,,
77,08.18.20 klo 04.57.08 ap.,21.383,35.433,,,,,,,
78,08.18.20 klo 05.27.08 ap.,21.383,35.458,,,,,,,
79,08.18.20 klo 05.57.08 ap.,21.340,35.482,,,,,,,
80,08.18.20 klo 06.27.08 ap.,21.383,35.531,,,,,,,
81,08.18.20 klo 06.57.08 ap.,21.383,35.531,,,,,,,
82,08.18.20 klo 07.27.08 ap.,21.383,35.458,,,,,,,
83,08.18.20 klo 07.57.08 ap.,21.383,35.556,,,,,,,
84,08.18.20 klo 08.27.08 ap.,21.383,35.897,,,,,,,
85,08.18.20 klo 08.57.08 ap.,21.426,36.117,,,,,,,
86,08.18.20 klo 09.27.08 ap.,21.383,36.093,,,,,,,
87,08.18.20 klo 09.57.08 ap.,21.383,36.044,,,,,,,
88,08.18.20 klo 10.27.08 ap.,21.383,36.068,,,,,,,
89,08.18.20 klo 10.57.08 ap.,21.426,36.190,,,,,,,
90,08.18.20 klo 11.27.08 ap.,21.426,36.337,,,,,,,
91,08.18.20 klo 11.57.08 ap.,21.426,36.557,,,,,,,
92,08.18.20 klo 12.27.08 ip.,21.512,36.557,,,,,,,
93,08.18.20 klo 12.57.08 ip.,21.512,36.435,,,,,,,
94,08.18.20 klo 01.27.08 ip.,21.469,36.410,,,,,,,
95,08.18.20 klo 01.57.08 ip.,21.469,36.581,,,,,,,
96,08.18.20 klo 02.27.08 ip.,21.469,37.070,,,,,,,
97,08.18.20 klo 02.57.08 ip.,21.469,37.094,,,,,,,
98,08.18.20 klo 03.27.08 ip.,21.469,37.265,,,,,,,
99,08.18.20 klo 03.57.08 ip.,21.469,37.338,,,,,,,
100,08.18.20 klo 04.27.08 ip.,21.469,37.485,,,,,,,
101,08.18.20 klo 04.57.08 ip.,21.469,37.582,,,,,,,
102,08.18.20 klo 05.27.08 ip.,21.469,37.778,,,,,,,
103,08.18.20 klo 05.57.08 ip.,21.469,37.998,,,,,,,
104,08.18.20 klo 06.27.08 ip.,21.469,37.973,,,,,,,
105,08.18.20 klo 06.57.08 ip.,21.426,37.949,,,,,,,
106,08.18.20 klo 07.27.08 ip.,21.383,37.900,,,,,,,
107,08.18.20 klo 07.57.08 ip.,21.426,37.973,,,,,,,
108,08.18.20 klo 08.27.08 ip.,21.297,37.949,,,,,,,
109,08.18.20 klo 08.57.08 ip.,21.340,38.193,,,,,,,
110,08.18.20 klo 09.27.08 ip.,21.383,38.559,,,,,,,
111,08.18.20 klo 09.57.08 ip.,21.469,38.852,,,,,,,
112,08.18.20 klo 10.27.08 ip.,21.598,38.828,,,,,,,
113,08.18.20 klo 10.57.08 ip.,21.512,39.170,,,,,,,
114,08.18.20 klo 11.27.08 ip.,21.512,39.096,,,,,,,
115,08.18.20 klo 11.57.08 ip.,21.512,39.048,,,,,,,
116,08.19.20 klo 12.27.08 ap.,21.512,38.926,,,,,,,
117,08.19.20 klo 12.57.08 ap.,21.512,38.828,,,,,,,
118,08.19.20 klo 01.27.08 ap.,21.426,38.657,,,,,,,
119,08.19.20 klo 01.57.08 ap.,21.426,38.584,,,,,,,
120,08.19.20 klo 02.27.08 ap.,21.383,38.510,,,,,,,
121,08.19.20 klo 02.57.08 ap.,21.426,38.437,,,,,,,
