"Plot Title: 20854930"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854930, SEN S/N: 20854930)","RH, % (LGR S/N: 20854930, SEN S/N: 20854930)","Coupler Detached (LGR S/N: 20854930)","Coupler Attached (LGR S/N: 20854930)","Host Connected (LGR S/N: 20854930)","Stopped (LGR S/N: 20854930)","End Of File (LGR S/N: 20854930)"
1,08.16.20 klo 03.21.07 ip.,22.885,36.557,,,,,
2,08.16.20 klo 03.21.17 ip.,,,Logged,,,,
3,08.16.20 klo 03.51.07 ip.,22.713,36.166,,,,,
4,08.16.20 klo 04.21.07 ip.,22.541,36.020,,,,,
5,08.16.20 klo 04.51.07 ip.,22.498,36.044,,,,,
6,08.16.20 klo 05.21.07 ip.,22.541,35.800,,,,,
7,08.16.20 klo 05.51.07 ip.,22.498,35.482,,,,,
8,08.16.20 klo 06.21.07 ip.,22.370,34.750,,,,,
9,08.16.20 klo 06.51.07 ip.,22.370,34.457,,,,,
10,08.16.20 klo 07.21.07 ip.,22.198,34.457,,,,,
11,08.16.20 klo 07.51.07 ip.,22.155,34.799,,,,,
12,08.16.20 klo 08.21.07 ip.,22.155,34.847,,,,,
13,08.16.20 klo 08.51.07 ip.,22.198,34.774,,,,,
14,08.16.20 klo 09.21.07 ip.,22.241,34.701,,,,,
15,08.16.20 klo 09.51.07 ip.,22.198,34.652,,,,,
16,08.16.20 klo 10.21.07 ip.,22.198,34.432,,,,,
17,08.16.20 klo 10.51.07 ip.,22.069,33.748,,,,,
18,08.16.20 klo 11.21.07 ip.,21.941,33.211,,,,,
19,08.16.20 klo 11.51.07 ip.,21.898,32.821,,,,,
20,08.17.20 klo 12.21.07 ap.,21.812,32.601,,,,,
21,08.17.20 klo 12.51.07 ap.,21.769,32.625,,,,,
22,08.17.20 klo 01.21.07 ap.,21.726,32.479,,,,,
23,08.17.20 klo 01.51.07 ap.,21.683,32.698,,,,,
24,08.17.20 klo 02.21.07 ap.,21.598,33.187,,,,,
25,08.17.20 klo 02.51.07 ap.,21.598,33.675,,,,,
26,08.17.20 klo 03.21.07 ap.,21.598,33.944,,,,,
27,08.17.20 klo 03.51.07 ap.,21.598,34.383,,,,,
28,08.17.20 klo 04.21.07 ap.,21.555,34.652,,,,,
29,08.17.20 klo 04.51.07 ap.,21.598,35.092,,,,,
30,08.17.20 klo 05.21.07 ap.,21.598,35.336,,,,,
31,08.17.20 klo 05.51.07 ap.,21.555,35.311,,,,,
32,08.17.20 klo 06.21.07 ap.,21.555,35.214,,,,,
33,08.17.20 klo 06.51.07 ap.,21.555,35.067,,,,,
34,08.17.20 klo 07.21.07 ap.,21.598,35.385,,,,,
35,08.17.20 klo 07.51.07 ap.,21.640,35.775,,,,,
36,08.17.20 klo 08.21.07 ap.,21.640,34.847,,,,,
37,08.17.20 klo 08.51.07 ap.,21.598,34.554,,,,,
38,08.17.20 klo 09.21.07 ap.,21.555,33.871,,,,,
39,08.17.20 klo 09.51.07 ap.,21.512,35.043,,,,,
40,08.17.20 klo 10.21.07 ap.,21.555,34.994,,,,,
41,08.17.20 klo 10.51.07 ap.,21.598,34.847,,,,,
42,08.17.20 klo 11.21.07 ap.,21.640,34.872,,,,,
43,08.17.20 klo 11.51.07 ap.,21.683,34.628,,,,,
44,08.17.20 klo 12.21.07 ip.,21.855,35.018,,,,,
45,08.17.20 klo 12.51.07 ip.,21.984,35.189,,,,,
46,08.17.20 klo 01.21.07 ip.,22.069,34.774,,,,,
47,08.17.20 klo 01.51.07 ip.,22.155,34.750,,,,,
48,08.17.20 klo 02.21.07 ip.,22.198,34.505,,,,,
49,08.17.20 klo 02.51.07 ip.,22.155,34.335,,,,,
50,08.17.20 klo 03.21.07 ip.,22.155,34.188,,,,,
51,08.17.20 klo 03.51.07 ip.,22.112,33.724,,,,,
52,08.17.20 klo 04.21.07 ip.,22.155,33.455,,,,,
53,08.17.20 klo 04.51.07 ip.,22.155,34.017,,,,,
54,08.17.20 klo 05.21.07 ip.,22.112,33.651,,,,,
55,08.17.20 klo 05.51.07 ip.,21.426,32.430,,,,,
56,08.17.20 klo 06.21.07 ip.,21.598,33.309,,,,,
57,08.17.20 klo 06.51.07 ip.,21.640,32.845,,,,,
58,08.17.20 klo 07.21.07 ip.,21.640,32.918,,,,,
59,08.17.20 klo 07.51.07 ip.,21.769,33.284,,,,,
