"Plot Title:  20854976"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854976, SEN S/N: 20854976)","RH, % (LGR S/N: 20854976, SEN S/N: 20854976)","Coupler Detached (LGR S/N: 20854976)","Bad Battery (LGR S/N: 20854976)","Good Battery (LGR S/N: 20854976)","Coupler Attached (LGR S/N: 20854976)","Host Connected (LGR S/N: 20854976)","Stopped (LGR S/N: 20854976)","End Of File (LGR S/N: 20854976)"
1,08.04.20 klo 08.21.03 ip.,22.799,47.424,,,,,,,
2,08.04.20 klo 08.21.13 ip.,,,Logged,,,,,,
3,08.04.20 klo 08.51.03 ip.,23.099,45.690,,,,,,,
4,08.04.20 klo 09.21.03 ip.,22.885,45.763,,,,,,,
5,08.04.20 klo 09.51.03 ip.,22.713,45.543,,,,,,,
6,08.04.20 klo 10.21.03 ip.,22.584,45.495,,,,,,,
7,08.04.20 klo 10.51.03 ip.,22.413,45.372,,,,,,,
8,08.04.20 klo 11.21.03 ip.,22.327,45.104,,,,,,,
9,08.04.20 klo 11.51.03 ip.,22.284,44.615,,,,,,,
10,08.05.20 klo 12.21.03 ap.,22.370,44.420,,,,,,,
11,08.05.20 klo 12.51.03 ap.,22.370,44.005,,,,,,,
12,08.05.20 klo 01.21.03 ap.,22.456,43.614,,,,,,,
13,08.05.20 klo 01.51.03 ap.,22.370,43.394,,,,,,,
14,08.05.20 klo 02.21.03 ap.,22.413,43.272,,,,,,,
15,08.05.20 klo 02.51.03 ap.,22.498,43.126,,,,,,,
16,08.05.20 klo 03.21.03 ap.,22.456,43.028,,,,,,,
17,08.05.20 klo 03.51.03 ap.,22.498,42.906,,,,,,,
18,08.05.20 klo 04.21.03 ap.,22.498,42.759,,,,,,,
19,08.05.20 klo 04.51.03 ap.,22.498,42.662,,,,,,,
20,08.05.20 klo 05.21.03 ap.,22.498,42.466,,,,,,,
21,08.05.20 klo 05.51.03 ap.,22.584,42.295,,,,,,,
22,08.05.20 klo 06.21.03 ap.,22.584,42.149,,,,,,,
23,08.05.20 klo 06.51.03 ap.,22.541,41.978,,,,,,,
24,08.05.20 klo 07.21.03 ap.,22.584,41.880,,,,,,,
25,08.05.20 klo 07.51.03 ap.,22.627,41.685,,,,,,,
26,08.05.20 klo 08.21.03 ap.,22.670,41.685,,,,,,,
27,08.05.20 klo 08.51.03 ap.,22.713,41.392,,,,,,,
28,08.05.20 klo 09.21.03 ap.,23.271,42.857,,,,,,,
29,08.05.20 klo 09.51.03 ap.,22.370,40.635,,,,,,,
30,08.05.20 klo 10.21.03 ap.,20.353,44.005,,,,,,,
