"Plot Title:  20849239"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849239, SEN S/N: 20849239)","RH, % (LGR S/N: 20849239, SEN S/N: 20849239)","Coupler Detached (LGR S/N: 20849239)","Bad Battery (LGR S/N: 20849239)","Coupler Attached (LGR S/N: 20849239)","Host Connected (LGR S/N: 20849239)","Stopped (LGR S/N: 20849239)","End Of File (LGR S/N: 20849239)"
1,08.16.20 klo 03.33.22 ip.,22.456,37.802,,,,,,
2,08.16.20 klo 03.33.31 ip.,,,Logged,,,,,
3,08.16.20 klo 04.03.22 ip.,22.627,35.922,,,,,,
4,08.16.20 klo 04.33.22 ip.,22.456,35.824,,,,,,
5,08.16.20 klo 05.03.22 ip.,22.456,35.726,,,,,,
6,08.16.20 klo 05.33.22 ip.,22.498,35.409,,,,,,
7,08.16.20 klo 06.03.22 ip.,22.327,35.092,,,,,,
8,08.16.20 klo 06.33.22 ip.,22.327,34.457,,,,,,
9,08.16.20 klo 07.03.22 ip.,22.284,34.017,,,,,,
10,08.16.20 klo 07.33.22 ip.,22.155,34.750,,,,,,
11,08.16.20 klo 08.03.22 ip.,22.155,34.628,,,,,,
12,08.16.20 klo 08.33.22 ip.,22.112,34.628,,,,,,
13,08.16.20 klo 09.03.22 ip.,22.198,34.505,,,,,,
14,08.16.20 klo 09.33.22 ip.,22.198,34.408,,,,,,
15,08.16.20 klo 10.03.22 ip.,22.198,34.359,,,,,,
16,08.16.20 klo 10.33.22 ip.,22.155,33.993,,,,,,
17,08.16.20 klo 11.03.22 ip.,21.984,33.016,,,,,,
18,08.16.20 klo 11.33.22 ip.,21.898,32.845,,,,,,
19,08.17.20 klo 12.03.22 ap.,21.769,32.454,,,,,,
20,08.17.20 klo 12.33.22 ap.,21.769,32.357,,,,,,
21,08.17.20 klo 01.03.22 ap.,21.683,32.308,,,,,,
22,08.17.20 klo 01.33.22 ap.,21.640,32.698,,,,,,
23,08.17.20 klo 02.03.22 ap.,21.640,32.381,,,,,,
24,08.17.20 klo 02.33.22 ap.,21.598,33.236,,,,,,
25,08.17.20 klo 03.03.22 ap.,21.555,33.333,,,,,,
26,08.17.20 klo 03.33.22 ap.,21.555,34.042,,,,,,
27,08.17.20 klo 04.03.22 ap.,21.555,34.139,,,,,,
28,08.17.20 klo 04.33.22 ap.,21.555,34.383,,,,,,
29,08.17.20 klo 05.03.22 ap.,21.555,34.994,,,,,,
30,08.17.20 klo 05.33.22 ap.,21.555,35.189,,,,,,
31,08.17.20 klo 06.03.22 ap.,21.555,35.116,,,,,,
