"Plot Title:  20854988"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854988, SEN S/N: 20854988)","RH, % (LGR S/N: 20854988, SEN S/N: 20854988)","Coupler Detached (LGR S/N: 20854988)","Coupler Attached (LGR S/N: 20854988)","Host Connected (LGR S/N: 20854988)","Stopped (LGR S/N: 20854988)","End Of File (LGR S/N: 20854988)"
1,08.03.20 klo 08.04.58 ip.,25.244,46.593,,,,,
2,08.03.20 klo 08.05.11 ip.,,,Logged,,,,
3,08.03.20 klo 08.34.58 ip.,25.888,38.632,,,,,
4,08.03.20 klo 09.04.58 ip.,25.587,43.223,,,,,
5,08.03.20 klo 09.34.58 ip.,25.330,42.491,,,,,
6,08.03.20 klo 10.04.58 ip.,24.987,42.784,,,,,
7,08.03.20 klo 10.34.58 ip.,24.686,42.613,,,,,
8,08.03.20 klo 11.04.58 ip.,24.343,42.198,,,,,
9,08.03.20 klo 11.34.58 ip.,24.086,41.441,,,,,
10,08.04.20 klo 12.04.58 ap.,23.828,41.074,,,,,
11,08.04.20 klo 12.34.58 ap.,23.571,41.074,,,,,
12,08.04.20 klo 01.04.58 ap.,23.399,41.661,,,,,
13,08.04.20 klo 01.34.58 ap.,23.314,41.490,,,,,
14,08.04.20 klo 02.04.58 ap.,23.271,41.221,,,,,
15,08.04.20 klo 02.34.58 ap.,23.228,41.026,,,,,
16,08.04.20 klo 03.04.58 ap.,23.185,40.855,,,,,
17,08.04.20 klo 03.34.58 ap.,23.142,40.659,,,,,
18,08.04.20 klo 04.04.58 ap.,23.099,40.513,,,,,
19,08.04.20 klo 04.34.58 ap.,23.099,40.366,,,,,
20,08.04.20 klo 05.04.58 ap.,23.013,40.171,,,,,
21,08.04.20 klo 05.34.58 ap.,23.099,39.951,,,,,
22,08.04.20 klo 06.04.58 ap.,23.099,39.805,,,,,
23,08.04.20 klo 06.34.58 ap.,23.056,39.609,,,,,
24,08.04.20 klo 07.04.58 ap.,23.099,39.463,,,,,
25,08.04.20 klo 07.34.58 ap.,23.099,39.438,,,,,
26,08.04.20 klo 08.04.58 ap.,23.228,39.756,,,,,
27,08.04.20 klo 08.34.58 ap.,23.142,39.683,,,,,
28,08.04.20 klo 09.04.58 ap.,23.271,41.612,,,,,
29,08.04.20 klo 09.34.58 ap.,23.056,39.829,,,,,
30,08.04.20 klo 10.04.58 ap.,22.885,39.414,,,,,
31,08.04.20 klo 10.34.58 ap.,23.228,39.414,,,,,
32,08.04.20 klo 11.04.58 ap.,23.528,38.706,,,,,
33,08.04.20 klo 11.34.58 ap.,23.614,38.510,,,,,
34,08.04.20 klo 12.04.58 ip.,23.957,37.827,,,,,
35,08.04.20 klo 12.34.58 ip.,24.043,36.850,,,,,
36,08.04.20 klo 01.04.58 ip.,24.429,36.313,,,,,
37,08.04.20 klo 01.34.58 ip.,24.386,33.309,,,,,
38,08.04.20 klo 02.04.58 ip.,24.257,35.043,,,,,
39,08.04.20 klo 02.34.58 ip.,24.043,34.725,,,,,
40,08.04.20 klo 03.04.58 ip.,23.785,37.729,,,,,
41,08.04.20 klo 03.34.58 ip.,24.086,35.092,,,,,
42,08.04.20 klo 04.04.58 ip.,23.614,37.411,,,,,
43,08.04.20 klo 04.34.58 ip.,23.442,38.168,,,,,
44,08.04.20 klo 05.04.58 ip.,23.142,39.976,,,,,
45,08.04.20 klo 05.34.58 ip.,23.743,40.049,,,,,
46,08.04.20 klo 06.04.58 ip.,22.885,41.880,,,,,
47,08.04.20 klo 06.34.58 ip.,22.627,42.759,,,,,
48,08.04.20 klo 07.04.58 ip.,22.885,42.955,,,,,
49,08.04.20 klo 07.34.58 ip.,22.241,45.104,,,,,
50,08.04.20 klo 08.04.58 ip.,22.456,47.082,,,,,
51,08.04.20 klo 08.34.58 ip.,23.743,44.786,,,,,
52,08.04.20 klo 09.04.58 ip.,22.970,46.081,,,,,
53,08.04.20 klo 09.34.58 ip.,22.756,46.007,,,,,
54,08.04.20 klo 10.04.58 ip.,22.541,45.812,,,,,
55,08.04.20 klo 10.34.58 ip.,22.413,45.958,,,,,
56,08.04.20 klo 11.04.58 ip.,22.241,45.788,,,,,
57,08.04.20 klo 11.34.58 ip.,22.112,45.592,,,,,
58,08.05.20 klo 12.04.58 ap.,22.284,44.200,,,,,
59,08.05.20 klo 12.34.58 ap.,22.327,43.932,,,,,
60,08.05.20 klo 01.04.58 ap.,22.370,43.712,,,,,
61,08.05.20 klo 01.34.58 ap.,22.413,43.443,,,,,
62,08.05.20 klo 02.04.58 ap.,22.456,43.370,,,,,
63,08.05.20 klo 02.34.58 ap.,22.456,43.248,,,,,
64,08.05.20 klo 03.04.58 ap.,22.498,43.028,,,,,
65,08.05.20 klo 03.34.58 ap.,22.498,43.028,,,,,
66,08.05.20 klo 04.04.58 ap.,22.498,42.784,,,,,
67,08.05.20 klo 04.34.58 ap.,22.498,42.662,,,,,
68,08.05.20 klo 05.04.58 ap.,22.541,42.540,,,,,
69,08.05.20 klo 05.34.58 ap.,22.584,42.369,,,,,
70,08.05.20 klo 06.04.58 ap.,22.627,42.149,,,,,
71,08.05.20 klo 06.34.58 ap.,22.627,41.978,,,,,
72,08.05.20 klo 07.04.58 ap.,22.670,41.880,,,,,
73,08.05.20 klo 07.34.58 ap.,22.713,41.685,,,,,
74,08.05.20 klo 08.04.58 ap.,22.713,41.734,,,,,
75,08.05.20 klo 08.34.58 ap.,22.842,41.270,,,,,
76,08.05.20 klo 09.04.58 ap.,22.927,40.855,,,,,
77,08.05.20 klo 09.34.58 ap.,23.185,42.393,,,,,
78,08.05.20 klo 10.04.58 ap.,23.056,41.856,,,,,
79,08.05.20 klo 10.34.58 ap.,23.228,40.977,,,,,
80,08.05.20 klo 11.04.58 ap.,23.271,40.684,,,,,
81,08.05.20 klo 11.34.58 ap.,23.314,40.904,,,,,
82,08.05.20 klo 12.04.58 ip.,23.356,42.051,,,,,
83,08.05.20 klo 12.34.58 ip.,23.871,40.513,,,,,
84,08.05.20 klo 01.04.58 ip.,24.043,39.780,,,,,
85,08.05.20 klo 01.34.58 ip.,23.957,39.853,,,,,
86,08.05.20 klo 02.04.58 ip.,24.300,38.950,,,,,
87,08.05.20 klo 02.34.58 ip.,24.644,37.949,,,,,
88,08.05.20 klo 03.04.58 ip.,25.201,36.923,,,,,
89,08.05.20 klo 03.34.58 ip.,25.115,37.289,,,,,
90,08.05.20 klo 04.04.58 ip.,24.472,38.388,,,,,
91,08.05.20 klo 04.34.58 ip.,24.987,37.875,,,,,
92,08.05.20 klo 05.04.58 ip.,25.073,38.559,,,,,
93,08.05.20 klo 05.34.58 ip.,24.815,39.951,,,,,
94,08.05.20 klo 06.04.58 ip.,25.115,39.341,,,,,
95,08.05.20 klo 06.34.58 ip.,23.914,40.757,,,,,
96,08.05.20 klo 07.04.58 ip.,23.099,42.393,,,,,
97,08.05.20 klo 07.34.58 ip.,22.756,43.932,,,,,
98,08.05.20 klo 08.04.58 ip.,22.370,46.032,,,,,
99,08.05.20 klo 08.34.58 ip.,22.112,45.983,,,,,
100,08.05.20 klo 09.04.58 ip.,22.069,45.592,,,,,
101,08.05.20 klo 09.34.58 ip.,21.855,45.201,,,,,
102,08.05.20 klo 10.04.58 ip.,21.726,45.324,,,,,
103,08.05.20 klo 10.34.58 ip.,21.598,45.739,,,,,
