"Plot Title:  20854936"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854936, SEN S/N: 20854936, LBL: AT)","RH, % (LGR S/N: 20854936, SEN S/N: 20854936, LBL: RH)","Coupler Detached (LGR S/N: 20854936)","Bad Battery (LGR S/N: 20854936)","Good Battery (LGR S/N: 20854936)","Coupler Attached (LGR S/N: 20854936)","Host Connected (LGR S/N: 20854936)","Stopped (LGR S/N: 20854936)","End Of File (LGR S/N: 20854936)"
1,08.04.20 klo 08.19.33 ip.,24.300,43.907,,,,,,,
2,08.04.20 klo 08.19.44 ip.,,,Logged,,,,,,
3,08.04.20 klo 08.49.33 ip.,22.970,46.252,,,,,,,
4,08.04.20 klo 09.19.33 ip.,22.842,46.129,,,,,,,
5,08.04.20 klo 09.49.33 ip.,22.713,45.714,,,,,,,
6,08.04.20 klo 10.19.33 ip.,22.584,45.714,,,,,,,
7,08.04.20 klo 10.49.33 ip.,22.370,45.690,,,,,,,
8,08.04.20 klo 11.19.33 ip.,22.327,45.324,,,,,,,
9,08.04.20 klo 11.49.33 ip.,22.327,44.786,,,,,,,
10,08.05.20 klo 12.19.33 ap.,22.456,44.322,,,,,,,
11,08.05.20 klo 12.49.33 ap.,22.413,43.980,,,,,,,
12,08.05.20 klo 01.19.33 ap.,22.498,43.712,,,,,,,
13,08.05.20 klo 01.49.33 ap.,22.498,43.443,,,,,,,
14,08.05.20 klo 02.19.33 ap.,22.498,43.321,,,,,,,
15,08.05.20 klo 02.49.33 ap.,22.541,43.199,,,,,,,
16,08.05.20 klo 03.19.33 ap.,22.541,43.053,,,,,,,
17,08.05.20 klo 03.49.33 ap.,22.541,43.004,,,,,,,
18,08.05.20 klo 04.19.33 ap.,22.541,42.808,,,,,,,
19,08.05.20 klo 04.49.33 ap.,22.541,42.662,,,,,,,
20,08.05.20 klo 05.19.33 ap.,22.541,42.589,,,,,,,
21,08.05.20 klo 05.49.33 ap.,22.541,42.418,,,,,,,
22,08.05.20 klo 06.19.33 ap.,22.584,42.295,,,,,,,
23,08.05.20 klo 06.49.33 ap.,22.627,42.173,,,,,,,
24,08.05.20 klo 07.19.33 ap.,22.584,42.100,,,,,,,
25,08.05.20 klo 07.49.33 ap.,22.584,41.905,,,,,,,
26,08.05.20 klo 08.19.33 ap.,22.670,42.027,,,,,,,
27,08.05.20 klo 08.49.33 ap.,22.670,41.685,,,,,,,
28,08.05.20 klo 09.19.33 ap.,23.271,43.516,,,,,,,
29,08.05.20 klo 09.49.33 ap.,22.198,40.488,,,,,,,
30,08.05.20 klo 10.19.33 ap.,18.509,49.817,,,,,,,
31,08.05.20 klo 10.49.33 ap.,20.782,61.856,,,,,,,
32,08.05.20 klo 11.19.33 ap.,16.321,64.127,,,,,,,
33,08.05.20 klo 11.49.33 ap.,17.694,62.149,,,,,,,
34,08.05.20 klo 12.19.33 ip.,22.584,47.106,,,,,,,
35,08.05.20 klo 12.49.33 ip.,19.453,52.015,,,,,,,
36,08.05.20 klo 01.19.33 ip.,18.337,54.603,,,,,,,
37,08.05.20 klo 01.49.33 ip.,16.793,62.051,,,,,,,
38,08.05.20 klo 02.19.33 ip.,19.967,50.085,,,,,,,
39,08.05.20 klo 02.49.33 ip.,20.139,51.819,,,,,,,
40,08.05.20 klo 03.19.33 ip.,15.120,63.150,,,,,,,
41,08.05.20 klo 03.49.33 ip.,14.905,66.667,,,,,,,
42,08.05.20 klo 04.19.33 ip.,14.776,67.692,,,,,,,
43,08.05.20 klo 04.49.33 ip.,13.704,71.306,,,,,,,
44,08.05.20 klo 05.19.33 ip.,15.034,65.617,,,,,,,
45,08.05.20 klo 05.49.33 ip.,15.248,63.687,,,,,,,
46,08.05.20 klo 06.19.33 ip.,14.262,70.794,,,,,,,
47,08.05.20 klo 06.49.33 ip.,12.031,82.857,,,,,,,
48,08.05.20 klo 07.19.33 ip.,12.374,81.026,,,,,,,
49,08.05.20 klo 07.49.33 ip.,14.433,73.968,,,,,,,
50,08.05.20 klo 08.19.33 ip.,15.592,67.155,,,,,,,
51,08.05.20 klo 08.49.33 ip.,12.031,82.100,,,,,,,
52,08.05.20 klo 09.19.33 ip.,11.044,87.375,,,,,,,
53,08.05.20 klo 09.49.33 ip.,10.572,90.403,,,,,,,
54,08.05.20 klo 10.19.33 ip.,9.671,92.454,,,,,,,
55,08.05.20 klo 10.49.33 ip.,9.457,94.383,,,,,,,
56,08.05.20 klo 11.19.33 ip.,9.028,96.386,,,,,,,
57,08.05.20 klo 11.49.33 ip.,8.899,98.535,,,,,,,
58,08.06.20 klo 12.19.33 ap.,8.556,97.924,,,,,,,
59,08.06.20 klo 12.49.33 ap.,7.140,98.339,,,,,,,
60,08.06.20 klo 01.19.33 ap.,4.866,98.852,,,,,,,
61,08.06.20 klo 01.49.33 ap.,3.150,99.438,,,,,,,
62,08.06.20 klo 02.19.33 ap.,2.764,100.000,,,,,,,
63,08.06.20 klo 02.49.33 ap.,2.464,100.000,,,,,,,
64,08.06.20 klo 03.19.33 ap.,2.421,100.000,,,,,,,
65,08.06.20 klo 03.49.33 ap.,2.893,100.000,,,,,,,
66,08.06.20 klo 04.19.33 ap.,2.335,100.000,,,,,,,
67,08.06.20 klo 04.49.33 ap.,3.279,100.000,,,,,,,
68,08.06.20 klo 05.19.33 ap.,3.923,100.000,,,,,,,
69,08.06.20 klo 05.49.33 ap.,4.995,100.000,,,,,,,
70,08.06.20 klo 06.19.33 ap.,5.767,100.000,,,,,,,
71,08.06.20 klo 06.49.33 ap.,7.355,100.000,,,,,,,
72,08.06.20 klo 07.19.33 ap.,8.727,96.972,,,,,,,
73,08.06.20 klo 07.49.33 ap.,11.430,89.109,,,,,,,
74,08.06.20 klo 08.19.33 ap.,10.057,92.576,,,,,,,
75,08.06.20 klo 08.49.33 ap.,14.262,80.049,,,,,,,
76,08.06.20 klo 09.19.33 ap.,15.935,69.280,,,,,,,
77,08.06.20 klo 09.49.33 ap.,12.417,81.905,,,,,,,
78,08.06.20 klo 10.19.33 ap.,16.149,67.179,,,,,,,
79,08.06.20 klo 10.49.33 ap.,18.123,61.099,,,,,,,
80,08.06.20 klo 11.19.33 ap.,19.924,56.044,,,,,,,
81,08.06.20 klo 11.49.33 ap.,20.311,53.822,,,,,,,
82,08.06.20 klo 12.19.33 ip.,21.855,46.471,,,,,,,
83,08.06.20 klo 12.49.33 ip.,22.541,44.029,,,,,,,
84,08.06.20 klo 01.19.33 ip.,23.785,37.118,,,,,,,
85,08.06.20 klo 01.49.33 ip.,24.515,32.186,,,,,,,
86,08.06.20 klo 02.19.33 ip.,24.944,31.502,,,,,,,
87,08.06.20 klo 02.49.33 ip.,24.772,29.011,,,,,,,
88,08.06.20 klo 03.19.33 ip.,24.558,35.043,,,,,,,
89,08.06.20 klo 03.49.33 ip.,23.399,32.796,,,,,,,
90,08.06.20 klo 04.19.33 ip.,22.198,32.503,,,,,,,
91,08.06.20 klo 04.49.33 ip.,22.627,36.239,,,,,,,
92,08.06.20 klo 05.19.33 ip.,21.297,36.313,,,,,,,
93,08.06.20 klo 05.49.33 ip.,21.340,37.973,,,,,,,
94,08.06.20 klo 06.19.33 ip.,19.581,40.513,,,,,,,
95,08.06.20 klo 06.49.33 ip.,19.839,44.274,,,,,,,
96,08.06.20 klo 07.19.33 ip.,18.981,45.861,,,,,,,
97,08.06.20 klo 07.49.33 ip.,18.166,60.659,,,,,,,
98,08.06.20 klo 08.19.33 ip.,17.093,63.834,,,,,,,
99,08.06.20 klo 08.49.33 ip.,16.407,57.118,,,,,,,
100,08.06.20 klo 09.19.33 ip.,15.849,62.125,,,,,,,
101,08.06.20 klo 09.49.33 ip.,13.876,71.844,,,,,,,
102,08.06.20 klo 10.19.33 ip.,13.446,75.824,,,,,,,
103,08.06.20 klo 10.49.33 ip.,12.074,88.718,,,,,,,
104,08.06.20 klo 11.19.33 ip.,12.331,85.470,,,,,,,
105,08.06.20 klo 11.49.33 ip.,13.532,77.143,,,,,,,
106,08.07.20 klo 12.19.33 ap.,13.876,74.921,,,,,,,
107,08.07.20 klo 12.49.33 ap.,13.361,77.631,,,,,,,
108,08.07.20 klo 01.19.33 ap.,12.331,85.250,,,,,,,
109,08.07.20 klo 01.49.33 ap.,11.945,87.717,,,,,,,
110,08.07.20 klo 02.19.33 ap.,11.945,88.987,,,,,,,
111,08.07.20 klo 02.49.33 ap.,12.760,85.543,,,,,,,
112,08.07.20 klo 03.19.33 ap.,12.374,86.545,,,,,,,
113,08.07.20 klo 03.49.33 ap.,12.159,89.524,,,,,,,
114,08.07.20 klo 04.19.33 ap.,12.202,89.499,,,,,,,
115,08.07.20 klo 04.49.33 ap.,12.546,86.203,,,,,,,
116,08.07.20 klo 05.19.33 ap.,12.803,84.664,,,,,,,
117,08.07.20 klo 05.49.33 ap.,12.288,87.277,,,,,,,
118,08.07.20 klo 06.19.33 ap.,13.618,76.996,,,,,,,
119,08.07.20 klo 06.49.33 ap.,13.361,78.413,,,,,,,
120,08.07.20 klo 07.19.33 ap.,14.262,72.698,,,,,,,
121,08.07.20 klo 07.49.33 ap.,14.047,72.308,,,,,,,
122,08.07.20 klo 08.19.33 ap.,14.262,70.061,,,,,,,
123,08.07.20 klo 08.49.33 ap.,14.176,73.333,,,,,,,
124,08.07.20 klo 09.19.33 ap.,14.305,72.039,,,,,,,
125,08.07.20 klo 09.49.33 ap.,14.948,70.379,,,,,,,
126,08.07.20 klo 10.19.33 ap.,14.047,73.626,,,,,,,
127,08.07.20 klo 10.49.33 ap.,15.205,71.990,,,,,,,
128,08.07.20 klo 11.19.33 ap.,15.506,63.321,,,,,,,
129,08.07.20 klo 11.49.33 ap.,15.248,63.907,,,,,,,
130,08.07.20 klo 12.19.33 ip.,15.763,58.877,,,,,,,
131,08.07.20 klo 12.49.33 ip.,17.007,54.774,,,,,,,
132,08.07.20 klo 01.19.33 ip.,17.093,52.674,,,,,,,
133,08.07.20 klo 01.49.33 ip.,20.568,42.149,,,,,,,
134,08.07.20 klo 02.19.33 ip.,20.911,43.321,,,,,,,
135,08.07.20 klo 02.49.33 ip.,21.640,40.220,,,,,,,
136,08.07.20 klo 03.19.33 ip.,21.426,40.049,,,,,,,
137,08.07.20 klo 03.49.33 ip.,21.898,37.582,,,,,,,
138,08.07.20 klo 04.19.33 ip.,22.241,38.755,,,,,,,
139,08.07.20 klo 04.49.33 ip.,20.697,38.388,,,,,,,
140,08.07.20 klo 05.19.33 ip.,21.769,38.803,,,,,,,
141,08.07.20 klo 05.49.33 ip.,22.713,37.753,,,,,,,
142,08.07.20 klo 06.19.33 ip.,22.584,37.411,,,,,,,
143,08.07.20 klo 06.49.33 ip.,22.284,38.950,,,,,,,
144,08.07.20 klo 07.19.33 ip.,21.598,44.200,,,,,,,
