"Plot Title: 20854946"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854946, SEN S/N: 20854946, LBL: AT)","RH, % (LGR S/N: 20854946, SEN S/N: 20854946, LBL: RH)","Coupler Detached (LGR S/N: 20854946)","Coupler Attached (LGR S/N: 20854946)","Host Connected (LGR S/N: 20854946)","Stopped (LGR S/N: 20854946)","End Of File (LGR S/N: 20854946)"
1,07.20.20 klo 12.00.00 ip.,21.555,50.305,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.555,50.330,,,,,
3,07.20.20 klo 01.00.00 ip.,21.512,50.305,,,,,
4,07.20.20 klo 01.30.00 ip.,21.512,50.256,,,,,
5,07.20.20 klo 02.00.00 ip.,21.512,50.281,,,,,
6,07.20.20 klo 02.30.00 ip.,21.512,50.305,,,,,
7,07.20.20 klo 03.00.00 ip.,21.555,50.256,,,,,
8,07.20.20 klo 03.30.00 ip.,21.512,50.256,,,,,
9,07.20.20 klo 04.00.00 ip.,21.555,50.256,,,,,
10,07.20.20 klo 04.30.00 ip.,21.555,50.281,,,,,
11,07.20.20 klo 05.00.00 ip.,21.555,50.305,,,,,
12,07.20.20 klo 05.30.00 ip.,21.598,50.403,,,,,
13,07.20.20 klo 06.00.00 ip.,21.598,50.598,,,,,
14,07.20.20 klo 06.30.00 ip.,21.555,50.794,,,,,
15,07.20.20 klo 07.00.00 ip.,21.512,51.038,,,,,
16,07.20.20 klo 07.30.00 ip.,21.555,51.380,,,,,
17,07.20.20 klo 08.00.00 ip.,21.640,51.600,,,,,
18,07.20.20 klo 08.30.00 ip.,21.726,51.819,,,,,
19,07.20.20 klo 09.00.00 ip.,21.812,51.966,,,,,
20,07.20.20 klo 09.30.00 ip.,21.855,52.063,,,,,
21,07.20.20 klo 10.00.00 ip.,21.941,52.234,,,,,
22,07.20.20 klo 10.30.00 ip.,22.027,52.332,,,,,
23,07.20.20 klo 11.00.00 ip.,22.027,52.430,,,,,
24,07.20.20 klo 11.30.00 ip.,22.069,52.405,,,,,
25,07.21.20 klo 12.00.00 ap.,22.112,52.479,,,,,
26,07.21.20 klo 12.30.00 ap.,22.112,52.430,,,,,
27,07.21.20 klo 01.00.00 ap.,22.112,52.454,,,,,
28,07.21.20 klo 01.30.00 ap.,22.112,52.405,,,,,
29,07.21.20 klo 02.00.00 ap.,22.069,52.381,,,,,
30,07.21.20 klo 02.30.00 ap.,22.069,52.332,,,,,
31,07.21.20 klo 03.00.00 ap.,22.069,52.357,,,,,
32,07.21.20 klo 03.30.00 ap.,22.069,52.308,,,,,
