"Plot Title:  20849260"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849260, SEN S/N: 20849260, LBL: AT)","RH, % (LGR S/N: 20849260, SEN S/N: 20849260, LBL: RH)","Coupler Detached (LGR S/N: 20849260)","Bad Battery (LGR S/N: 20849260)","Coupler Attached (LGR S/N: 20849260)","Host Connected (LGR S/N: 20849260)","Stopped (LGR S/N: 20849260)","End Of File (LGR S/N: 20849260)"
1,07.20.20 klo 12.00.00 ip.,21.941,49.280,Logged,,,,,
2,07.20.20 klo 12.30.00 ip.,21.941,49.304,,,,,,
3,07.20.20 klo 01.00.00 ip.,21.984,49.280,,,,,,
4,07.20.20 klo 01.30.00 ip.,21.984,49.255,,,,,,
5,07.20.20 klo 02.00.00 ip.,21.941,49.280,,,,,,
6,07.20.20 klo 02.30.00 ip.,21.941,49.206,,,,,,
7,07.20.20 klo 03.00.00 ip.,21.941,49.255,,,,,,
8,07.20.20 klo 03.30.00 ip.,21.984,49.231,,,,,,
9,07.20.20 klo 04.00.00 ip.,21.984,49.280,,,,,,
10,07.20.20 klo 04.30.00 ip.,21.941,49.255,,,,,,
11,07.20.20 klo 05.00.00 ip.,21.941,49.231,,,,,,
12,07.20.20 klo 05.30.00 ip.,21.984,49.280,,,,,,
13,07.20.20 klo 06.00.00 ip.,21.941,49.255,,,,,,
14,07.20.20 klo 06.30.00 ip.,21.984,49.255,,,,,,
15,07.20.20 klo 07.00.00 ip.,21.984,49.255,,,,,,
16,07.20.20 klo 07.30.00 ip.,21.984,49.280,,,,,,
17,07.20.20 klo 08.00.00 ip.,21.984,49.280,,,,,,
18,07.20.20 klo 08.30.00 ip.,22.027,49.304,,,,,,
19,07.20.20 klo 09.00.00 ip.,22.069,49.353,,,,,,
20,07.20.20 klo 09.30.00 ip.,22.027,49.280,,,,,,
21,07.20.20 klo 10.00.00 ip.,22.069,49.377,,,,,,
22,07.20.20 klo 10.30.00 ip.,22.069,49.402,,,,,,
23,07.20.20 klo 11.00.00 ip.,22.155,49.402,,,,,,
24,07.20.20 klo 11.30.00 ip.,22.112,49.475,,,,,,
25,07.21.20 klo 12.00.00 ap.,22.198,49.499,,,,,,
26,07.21.20 klo 12.30.00 ap.,22.155,49.548,,,,,,
27,07.21.20 klo 01.00.00 ap.,22.241,49.597,,,,,,
28,07.21.20 klo 01.30.00 ap.,22.284,49.597,,,,,,
29,07.21.20 klo 02.00.00 ap.,22.284,49.695,,,,,,
30,07.21.20 klo 02.30.00 ap.,22.284,49.695,,,,,,
31,07.21.20 klo 03.00.00 ap.,22.284,49.719,,,,,,
32,07.21.20 klo 03.30.00 ap.,22.284,49.768,,,,,,
33,07.21.20 klo 04.00.00 ap.,22.284,49.792,,,,,,
34,07.21.20 klo 04.30.00 ap.,22.284,49.792,,,,,,
35,07.21.20 klo 05.00.00 ap.,22.284,49.792,,,,,,
36,07.21.20 klo 05.30.00 ap.,22.284,49.866,,,,,,
37,07.21.20 klo 06.00.00 ap.,22.327,49.866,,,,,,
38,07.21.20 klo 06.30.00 ap.,22.284,49.915,,,,,,
39,07.21.20 klo 07.00.00 ap.,22.284,49.866,,,,,,
40,07.21.20 klo 07.30.00 ap.,22.327,49.915,,,,,,
41,07.21.20 klo 08.00.00 ap.,22.327,49.939,,,,,,
42,07.21.20 klo 08.30.00 ap.,22.327,49.890,,,,,,
43,07.21.20 klo 09.00.00 ap.,22.284,49.939,,,,,,
44,07.21.20 klo 09.30.00 ap.,22.241,49.915,,,,,,
45,07.21.20 klo 10.00.00 ap.,22.241,49.939,,,,,,
46,07.21.20 klo 10.30.00 ap.,22.155,49.890,,,,,,
47,07.21.20 klo 11.00.00 ap.,22.155,49.890,,,,,,
48,07.21.20 klo 11.30.00 ap.,22.112,49.890,,,,,,
49,07.21.20 klo 12.00.00 ip.,22.069,49.841,,,,,,
50,07.21.20 klo 12.30.00 ip.,22.112,49.817,,,,,,
51,07.21.20 klo 01.00.00 ip.,22.069,49.817,,,,,,
52,07.21.20 klo 01.30.00 ip.,22.069,49.817,,,,,,
53,07.21.20 klo 02.00.00 ip.,22.112,49.768,,,,,,
54,07.21.20 klo 02.30.00 ip.,22.069,49.744,,,,,,
