"Plot Title:  20849268"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849268, SEN S/N: 20849268, LBL: AT)","RH, % (LGR S/N: 20849268, SEN S/N: 20849268, LBL: RH)","Coupler Detached (LGR S/N: 20849268)","Coupler Attached (LGR S/N: 20849268)","Host Connected (LGR S/N: 20849268)","Stopped (LGR S/N: 20849268)","End Of File (LGR S/N: 20849268)"
1,07.20.20 klo 12.00.00 ip.,21.726,50.720,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.726,50.720,,,,,
3,07.20.20 klo 01.00.00 ip.,21.726,50.745,,,,,
4,07.20.20 klo 01.30.00 ip.,21.726,50.623,,,,,
5,07.20.20 klo 02.00.00 ip.,21.726,50.647,,,,,
6,07.20.20 klo 02.30.00 ip.,21.726,50.549,,,,,
7,07.20.20 klo 03.00.00 ip.,21.726,50.549,,,,,
8,07.20.20 klo 03.30.00 ip.,21.683,50.525,,,,,
9,07.20.20 klo 04.00.00 ip.,21.683,50.525,,,,,
10,07.20.20 klo 04.30.00 ip.,21.726,50.501,,,,,
11,07.20.20 klo 05.00.00 ip.,21.726,50.452,,,,,
12,07.20.20 klo 05.30.00 ip.,21.726,50.476,,,,,
13,07.20.20 klo 06.00.00 ip.,21.726,50.452,,,,,
14,07.20.20 klo 06.30.00 ip.,21.726,50.427,,,,,
15,07.20.20 klo 07.00.00 ip.,21.769,50.452,,,,,
16,07.20.20 klo 07.30.00 ip.,21.769,50.379,,,,,
17,07.20.20 klo 08.00.00 ip.,21.769,50.379,,,,,
18,07.20.20 klo 08.30.00 ip.,21.769,50.403,,,,,
19,07.20.20 klo 09.00.00 ip.,21.812,50.379,,,,,
20,07.20.20 klo 09.30.00 ip.,21.898,50.403,,,,,
21,07.20.20 klo 10.00.00 ip.,21.898,50.476,,,,,
22,07.20.20 klo 10.30.00 ip.,21.941,50.452,,,,,
23,07.20.20 klo 11.00.00 ip.,21.984,50.476,,,,,
24,07.20.20 klo 11.30.00 ip.,22.027,50.525,,,,,
25,07.21.20 klo 12.00.00 ap.,22.069,50.525,,,,,
26,07.21.20 klo 12.30.00 ap.,22.112,50.574,,,,,
27,07.21.20 klo 01.00.00 ap.,22.112,50.623,,,,,
28,07.21.20 klo 01.30.00 ap.,22.155,50.623,,,,,
29,07.21.20 klo 02.00.00 ap.,22.155,50.647,,,,,
30,07.21.20 klo 02.30.00 ap.,22.198,50.672,,,,,
31,07.21.20 klo 03.00.00 ap.,22.198,50.696,,,,,
32,07.21.20 klo 03.30.00 ap.,22.198,50.745,,,,,
33,07.21.20 klo 04.00.00 ap.,22.198,50.745,,,,,
34,07.21.20 klo 04.30.00 ap.,22.155,50.794,,,,,
35,07.21.20 klo 05.00.00 ap.,22.198,50.794,,,,,
36,07.21.20 klo 05.30.00 ap.,22.198,50.818,,,,,
37,07.21.20 klo 06.00.00 ap.,22.155,50.891,,,,,
38,07.21.20 klo 06.30.00 ap.,22.198,50.842,,,,,
39,07.21.20 klo 07.00.00 ap.,22.198,50.818,,,,,
40,07.21.20 klo 07.30.00 ap.,22.155,50.867,,,,,
41,07.21.20 klo 08.00.00 ap.,22.155,50.818,,,,,
42,07.21.20 klo 08.30.00 ap.,22.155,50.891,,,,,
43,07.21.20 klo 09.00.00 ap.,22.112,50.867,,,,,
44,07.21.20 klo 09.30.00 ap.,22.112,50.867,,,,,
45,07.21.20 klo 10.00.00 ap.,22.112,50.818,,,,,
46,07.21.20 klo 10.30.00 ap.,22.027,50.818,,,,,
47,07.21.20 klo 11.00.00 ap.,21.941,50.794,,,,,
48,07.21.20 klo 11.30.00 ap.,21.898,50.769,,,,,
49,07.21.20 klo 12.00.00 ip.,21.898,50.745,,,,,
50,07.21.20 klo 12.30.00 ip.,21.855,50.769,,,,,
51,07.21.20 klo 01.00.00 ip.,21.855,50.720,,,,,
52,07.21.20 klo 01.30.00 ip.,21.898,50.696,,,,,
53,07.21.20 klo 02.00.00 ip.,21.898,50.720,,,,,
54,07.21.20 klo 02.30.00 ip.,21.898,50.672,,,,,
55,07.21.20 klo 03.00.00 ip.,21.941,50.696,,,,,
56,07.21.20 klo 03.30.00 ip.,21.984,50.672,,,,,
57,07.21.20 klo 04.00.00 ip.,21.984,50.672,,,,,
58,07.21.20 klo 04.30.00 ip.,21.941,50.672,,,,,
59,07.21.20 klo 05.00.00 ip.,21.941,50.647,,,,,
60,07.21.20 klo 05.30.00 ip.,21.941,50.672,,,,,
61,07.21.20 klo 06.00.00 ip.,21.941,50.647,,,,,
62,07.21.20 klo 06.30.00 ip.,21.941,50.598,,,,,
63,07.21.20 klo 07.00.00 ip.,21.941,50.623,,,,,
64,07.21.20 klo 07.30.00 ip.,21.898,50.623,,,,,
65,07.21.20 klo 08.00.00 ip.,21.898,50.623,,,,,
66,07.21.20 klo 08.30.00 ip.,21.898,50.574,,,,,
67,07.21.20 klo 09.00.00 ip.,21.898,50.598,,,,,
68,07.21.20 klo 09.30.00 ip.,21.898,50.623,,,,,
69,07.21.20 klo 10.00.00 ip.,21.898,50.574,,,,,
70,07.21.20 klo 10.30.00 ip.,21.898,50.598,,,,,
71,07.21.20 klo 11.00.00 ip.,21.898,50.574,,,,,
72,07.21.20 klo 11.30.00 ip.,21.855,50.598,,,,,
73,07.22.20 klo 12.00.00 ap.,21.898,50.525,,,,,
74,07.22.20 klo 12.30.00 ap.,21.898,50.598,,,,,
75,07.22.20 klo 01.00.00 ap.,21.898,50.623,,,,,
76,07.22.20 klo 01.30.00 ap.,21.898,50.574,,,,,
77,07.22.20 klo 02.00.00 ap.,21.898,50.525,,,,,
78,07.22.20 klo 02.30.00 ap.,21.898,50.525,,,,,
79,07.22.20 klo 03.00.00 ap.,21.898,50.476,,,,,
80,07.22.20 klo 03.30.00 ap.,21.855,50.501,,,,,
81,07.22.20 klo 04.00.00 ap.,21.855,50.452,,,,,
82,07.22.20 klo 04.30.00 ap.,21.855,50.452,,,,,
83,07.22.20 klo 05.00.00 ap.,21.855,50.427,,,,,
84,07.22.20 klo 05.30.00 ap.,21.812,50.427,,,,,
85,07.22.20 klo 06.00.00 ap.,21.812,50.427,,,,,
86,07.22.20 klo 06.30.00 ap.,21.769,50.403,,,,,
87,07.22.20 klo 07.00.00 ap.,21.769,50.379,,,,,
88,07.22.20 klo 07.30.00 ap.,21.769,50.305,,,,,
89,07.22.20 klo 08.00.00 ap.,21.726,50.281,,,,,
90,07.22.20 klo 08.30.00 ap.,21.726,50.256,,,,,
91,07.22.20 klo 09.00.00 ap.,21.683,50.232,,,,,
92,07.22.20 klo 09.30.00 ap.,21.640,50.208,,,,,
93,07.22.20 klo 10.00.00 ap.,21.640,50.134,,,,,
94,07.22.20 klo 10.30.00 ap.,21.598,50.134,,,,,
95,07.22.20 klo 11.00.00 ap.,21.555,50.085,,,,,
96,07.22.20 klo 11.30.00 ap.,21.512,50.012,,,,,
97,07.22.20 klo 12.00.00 ip.,21.469,49.963,,,,,
98,07.22.20 klo 12.30.00 ip.,21.383,49.890,,,,,
99,07.22.20 klo 01.00.00 ip.,21.340,49.817,,,,,
100,07.22.20 klo 01.30.00 ip.,21.297,49.744,,,,,
101,07.22.20 klo 02.00.00 ip.,21.254,49.719,,,,,
102,07.22.20 klo 02.30.00 ip.,21.211,49.646,,,,,
103,07.22.20 klo 03.00.00 ip.,21.169,49.548,,,,,
104,07.22.20 klo 03.30.00 ip.,21.169,49.499,,,,,
105,07.22.20 klo 04.00.00 ip.,21.169,49.475,,,,,
106,07.22.20 klo 04.30.00 ip.,21.126,49.475,,,,,
107,07.22.20 klo 05.00.00 ip.,21.169,49.451,,,,,
108,07.22.20 klo 05.30.00 ip.,21.126,49.402,,,,,
109,07.22.20 klo 06.00.00 ip.,21.126,49.328,,,,,
110,07.22.20 klo 06.30.00 ip.,21.126,49.304,,,,,
111,07.22.20 klo 07.00.00 ip.,21.126,49.328,,,,,
112,07.22.20 klo 07.30.00 ip.,21.083,49.280,,,,,
113,07.22.20 klo 08.00.00 ip.,21.083,49.231,,,,,
114,07.22.20 klo 08.30.00 ip.,21.040,49.182,,,,,
115,07.22.20 klo 09.00.00 ip.,20.997,49.182,,,,,
116,07.22.20 klo 09.30.00 ip.,20.997,49.133,,,,,
117,07.22.20 klo 10.00.00 ip.,20.954,49.158,,,,,
118,07.22.20 klo 10.30.00 ip.,20.868,49.035,,,,,
119,07.22.20 klo 11.00.00 ip.,20.782,49.035,,,,,
120,07.22.20 klo 11.30.00 ip.,20.740,48.987,,,,,
121,07.23.20 klo 12.00.00 ap.,20.740,48.987,,,,,
122,07.23.20 klo 12.30.00 ap.,20.697,48.987,,,,,
123,07.23.20 klo 01.00.00 ap.,20.654,48.962,,,,,
124,07.23.20 klo 01.30.00 ap.,20.654,48.962,,,,,
125,07.23.20 klo 02.00.00 ap.,20.654,48.987,,,,,
126,07.23.20 klo 02.30.00 ap.,20.611,48.987,,,,,
127,07.23.20 klo 03.00.00 ap.,20.611,48.987,,,,,
128,07.23.20 klo 03.30.00 ap.,20.611,49.011,,,,,
129,07.23.20 klo 04.00.00 ap.,20.654,48.987,,,,,
130,07.23.20 klo 04.30.00 ap.,20.611,49.011,,,,,
131,07.23.20 klo 05.00.00 ap.,20.611,49.035,,,,,
132,07.23.20 klo 05.30.00 ap.,20.611,49.011,,,,,
133,07.23.20 klo 06.00.00 ap.,20.611,49.035,,,,,
134,07.23.20 klo 06.30.00 ap.,20.611,49.035,,,,,
135,07.23.20 klo 07.00.00 ap.,20.611,49.060,,,,,
136,07.23.20 klo 07.30.00 ap.,20.654,49.060,,,,,
137,07.23.20 klo 08.00.00 ap.,20.611,49.084,,,,,
138,07.23.20 klo 08.30.00 ap.,20.654,49.060,,,,,
139,07.23.20 klo 09.00.00 ap.,20.611,49.109,,,,,
140,07.23.20 klo 09.30.00 ap.,20.611,49.035,,,,,
141,07.23.20 klo 10.00.00 ap.,20.568,49.060,,,,,
142,07.23.20 klo 10.30.00 ap.,20.568,49.060,,,,,
143,07.23.20 klo 11.00.00 ap.,20.568,49.035,,,,,
144,07.23.20 klo 11.30.00 ap.,20.568,49.060,,,,,
145,07.23.20 klo 12.00.00 ip.,20.611,49.060,,,,,
146,07.23.20 klo 12.30.00 ip.,20.611,49.035,,,,,
147,07.23.20 klo 01.00.00 ip.,20.654,49.060,,,,,
148,07.23.20 klo 01.30.00 ip.,20.654,49.011,,,,,
149,07.23.20 klo 02.00.00 ip.,20.697,49.084,,,,,
150,07.23.20 klo 02.30.00 ip.,20.697,49.011,,,,,
151,07.23.20 klo 03.00.00 ip.,20.697,49.011,,,,,
152,07.23.20 klo 03.30.00 ip.,20.697,48.987,,,,,
153,07.23.20 klo 04.00.00 ip.,20.654,48.913,,,,,
154,07.23.20 klo 04.30.00 ip.,20.611,48.889,,,,,
155,07.23.20 klo 05.00.00 ip.,20.654,48.816,,,,,
156,07.23.20 klo 05.30.00 ip.,20.611,48.742,,,,,
157,07.23.20 klo 06.00.00 ip.,20.654,48.767,,,,,
158,07.23.20 klo 06.30.00 ip.,20.654,48.645,,,,,
159,07.23.20 klo 07.00.00 ip.,20.654,48.645,,,,,
160,07.23.20 klo 07.30.00 ip.,20.654,48.596,,,,,
161,07.23.20 klo 08.00.00 ip.,20.611,48.498,,,,,
162,07.23.20 klo 08.30.00 ip.,20.568,48.474,,,,,
163,07.23.20 klo 09.00.00 ip.,20.568,48.474,,,,,
164,07.23.20 klo 09.30.00 ip.,20.568,48.425,,,,,
165,07.23.20 klo 10.00.00 ip.,20.568,48.376,,,,,
166,07.23.20 klo 10.30.00 ip.,20.568,48.352,,,,,
167,07.23.20 klo 11.00.00 ip.,20.611,48.352,,,,,
168,07.23.20 klo 11.30.00 ip.,20.654,48.327,,,,,
169,07.24.20 klo 12.00.00 ap.,20.654,48.327,,,,,
170,07.24.20 klo 12.30.00 ap.,20.654,48.327,,,,,
171,07.24.20 klo 01.00.00 ap.,20.697,48.303,,,,,
172,07.24.20 klo 01.30.00 ap.,20.697,48.278,,,,,
173,07.24.20 klo 02.00.00 ap.,20.740,48.230,,,,,
174,07.24.20 klo 02.30.00 ap.,20.740,48.254,,,,,
175,07.24.20 klo 03.00.00 ap.,20.782,48.181,,,,,
176,07.24.20 klo 03.30.00 ap.,20.740,48.205,,,,,
177,07.24.20 klo 04.00.00 ap.,20.782,48.156,,,,,
178,07.24.20 klo 04.30.00 ap.,20.782,48.156,,,,,
179,07.24.20 klo 05.00.00 ap.,20.782,48.181,,,,,
180,07.24.20 klo 05.30.00 ap.,20.782,48.156,,,,,
181,07.24.20 klo 06.00.00 ap.,20.782,48.132,,,,,
182,07.24.20 klo 06.30.00 ap.,20.782,48.132,,,,,
183,07.24.20 klo 07.00.00 ap.,20.782,48.083,,,,,
184,07.24.20 klo 07.30.00 ap.,20.782,48.059,,,,,
185,07.24.20 klo 08.00.00 ap.,20.782,48.034,,,,,
186,07.24.20 klo 08.30.00 ap.,20.825,48.034,,,,,
187,07.24.20 klo 09.00.00 ap.,20.825,48.034,,,,,
188,07.24.20 klo 09.30.00 ap.,20.782,47.985,,,,,
189,07.24.20 klo 10.00.00 ap.,20.782,47.961,,,,,
190,07.24.20 klo 10.30.00 ap.,20.825,47.937,,,,,
191,07.24.20 klo 11.00.00 ap.,20.825,47.961,,,,,
192,07.24.20 klo 11.30.00 ap.,20.868,47.937,,,,,
193,07.24.20 klo 12.00.00 ip.,20.911,47.985,,,,,
194,07.24.20 klo 12.30.00 ip.,20.954,47.937,,,,,
195,07.24.20 klo 01.00.00 ip.,20.954,47.961,,,,,
196,07.24.20 klo 01.30.00 ip.,20.997,47.937,,,,,
197,07.24.20 klo 02.00.00 ip.,20.997,47.912,,,,,
198,07.24.20 klo 02.30.00 ip.,20.997,47.937,,,,,
199,07.24.20 klo 03.00.00 ip.,20.997,47.912,,,,,
200,07.24.20 klo 03.30.00 ip.,20.997,47.937,,,,,
201,07.24.20 klo 04.00.00 ip.,20.997,47.937,,,,,
