"Plot Title:  20849263"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849263, SEN S/N: 20849263, LBL: AT)","RH, % (LGR S/N: 20849263, SEN S/N: 20849263, LBL: RH)","Coupler Detached (LGR S/N: 20849263)","Bad Battery (LGR S/N: 20849263)","Good Battery (LGR S/N: 20849263)","Coupler Attached (LGR S/N: 20849263)","Host Connected (LGR S/N: 20849263)","Stopped (LGR S/N: 20849263)","End Of File (LGR S/N: 20849263)"
1,07.12.20 klo 12.00.00 ip.,22.627,48.034,Logged,,,,,,
2,07.12.20 klo 12.30.00 ip.,22.670,48.107,,,,,,,
3,07.12.20 klo 01.00.00 ip.,22.670,48.083,,,,,,,
4,07.12.20 klo 01.30.00 ip.,22.756,48.083,,,,,,,
5,07.12.20 klo 02.00.00 ip.,22.756,48.083,,,,,,,
6,07.12.20 klo 02.30.00 ip.,22.756,48.083,,,,,,,
7,07.12.20 klo 03.00.00 ip.,22.799,47.985,,,,,,,
8,07.12.20 klo 03.30.00 ip.,22.756,47.937,,,,,,,
9,07.12.20 klo 04.00.00 ip.,22.970,48.376,,,,,,,
10,07.12.20 klo 04.30.00 ip.,23.399,48.742,,,,,,,
11,07.12.20 klo 05.00.00 ip.,23.743,49.109,,,,,,,
12,07.12.20 klo 05.30.00 ip.,24.086,49.206,,,,,,,
13,07.12.20 klo 06.00.00 ip.,24.214,49.158,,,,,,,
14,07.12.20 klo 06.30.00 ip.,24.257,49.060,,,,,,,
15,07.12.20 klo 07.00.00 ip.,24.257,48.864,,,,,,,
16,07.12.20 klo 07.30.00 ip.,24.214,48.816,,,,,,,
17,07.12.20 klo 08.00.00 ip.,24.257,48.913,,,,,,,
18,07.12.20 klo 08.30.00 ip.,24.386,48.962,,,,,,,
19,07.12.20 klo 09.00.00 ip.,24.429,48.913,,,,,,,
20,07.12.20 klo 09.30.00 ip.,24.472,48.742,,,,,,,
21,07.12.20 klo 10.00.00 ip.,24.343,48.498,,,,,,,
22,07.12.20 klo 10.30.00 ip.,24.086,48.181,,,,,,,
23,07.12.20 klo 11.00.00 ip.,23.785,47.888,,,,,,,
24,07.12.20 klo 11.30.00 ip.,23.442,47.546,,,,,,,
25,07.13.20 klo 12.00.00 ap.,23.056,47.204,,,,,,,
26,07.13.20 klo 12.30.00 ap.,22.670,46.838,,,,,,,
27,07.13.20 klo 01.00.00 ap.,22.198,46.496,,,,,,,
28,07.13.20 klo 01.30.00 ap.,21.769,46.154,,,,,,,
29,07.13.20 klo 02.00.00 ap.,21.383,45.861,,,,,,,
30,07.13.20 klo 02.30.00 ap.,20.868,45.519,,,,,,,
31,07.13.20 klo 03.00.00 ap.,20.439,45.250,,,,,,,
32,07.13.20 klo 03.30.00 ap.,20.053,44.982,,,,,,,
33,07.13.20 klo 04.00.00 ap.,19.710,44.762,,,,,,,
34,07.13.20 klo 04.30.00 ap.,19.324,44.542,,,,,,,
35,07.13.20 klo 05.00.00 ap.,18.981,44.347,,,,,,,
36,07.13.20 klo 05.30.00 ap.,18.680,44.176,,,,,,,
37,07.13.20 klo 06.00.00 ap.,18.337,44.029,,,,,,,
38,07.13.20 klo 06.30.00 ap.,18.080,43.858,,,,,,,
39,07.13.20 klo 07.00.00 ap.,17.865,43.736,,,,,,,
40,07.13.20 klo 07.30.00 ap.,17.651,43.614,,,,,,,
41,07.13.20 klo 08.00.00 ap.,17.479,43.565,,,,,,,
42,07.13.20 klo 08.30.00 ap.,17.308,43.565,,,,,,,
43,07.13.20 klo 09.00.00 ap.,17.308,43.590,,,,,,,
44,07.13.20 klo 09.30.00 ap.,17.265,43.712,,,,,,,
45,07.13.20 klo 10.00.00 ap.,17.265,43.785,,,,,,,
46,07.13.20 klo 10.30.00 ap.,17.436,44.225,,,,,,,
47,07.13.20 klo 11.00.00 ap.,17.822,44.811,,,,,,,
48,07.13.20 klo 11.30.00 ap.,18.166,45.372,,,,,,,
49,07.13.20 klo 12.00.00 ip.,18.595,46.203,,,,,,,
50,07.13.20 klo 12.30.00 ip.,19.066,47.033,,,,,,,
51,07.13.20 klo 01.00.00 ip.,19.624,47.888,,,,,,,
52,07.13.20 klo 01.30.00 ip.,20.096,48.596,,,,,,,
