"Plot Title:  20854927"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854927, SEN S/N: 20854927, LBL: AT)","RH, % (LGR S/N: 20854927, SEN S/N: 20854927, LBL: RH)","Coupler Detached (LGR S/N: 20854927)","Coupler Attached (LGR S/N: 20854927)","Host Connected (LGR S/N: 20854927)","Stopped (LGR S/N: 20854927)","End Of File (LGR S/N: 20854927)"
1,07.20.20 klo 12.00.00 ip.,21.726,50.525,Logged,,,,
2,07.20.20 klo 12.30.00 ip.,21.769,50.501,,,,,
3,07.20.20 klo 01.00.00 ip.,21.769,50.476,,,,,
4,07.20.20 klo 01.30.00 ip.,21.683,50.427,,,,,
5,07.20.20 klo 02.00.00 ip.,21.726,50.403,,,,,
6,07.20.20 klo 02.30.00 ip.,21.726,50.330,,,,,
7,07.20.20 klo 03.00.00 ip.,21.769,50.354,,,,,
8,07.20.20 klo 03.30.00 ip.,21.726,50.354,,,,,
9,07.20.20 klo 04.00.00 ip.,21.726,50.330,,,,,
10,07.20.20 klo 04.30.00 ip.,21.726,50.256,,,,,
11,07.20.20 klo 05.00.00 ip.,21.769,50.256,,,,,
12,07.20.20 klo 05.30.00 ip.,21.726,50.281,,,,,
13,07.20.20 klo 06.00.00 ip.,21.726,50.232,,,,,
14,07.20.20 klo 06.30.00 ip.,21.769,50.208,,,,,
15,07.20.20 klo 07.00.00 ip.,21.769,50.208,,,,,
16,07.20.20 klo 07.30.00 ip.,21.769,50.256,,,,,
17,07.20.20 klo 08.00.00 ip.,21.812,50.281,,,,,
18,07.20.20 klo 08.30.00 ip.,21.855,50.330,,,,,
19,07.20.20 klo 09.00.00 ip.,21.855,50.379,,,,,
20,07.20.20 klo 09.30.00 ip.,21.941,50.476,,,,,
21,07.20.20 klo 10.00.00 ip.,21.984,50.549,,,,,
22,07.20.20 klo 10.30.00 ip.,22.027,50.696,,,,,
23,07.20.20 klo 11.00.00 ip.,22.069,50.769,,,,,
24,07.20.20 klo 11.30.00 ip.,22.112,50.818,,,,,
25,07.21.20 klo 12.00.00 ap.,22.069,50.916,,,,,
26,07.21.20 klo 12.30.00 ap.,22.112,50.940,,,,,
27,07.21.20 klo 01.00.00 ap.,22.112,51.013,,,,,
28,07.21.20 klo 01.30.00 ap.,22.155,51.062,,,,,
29,07.21.20 klo 02.00.00 ap.,22.198,51.062,,,,,
30,07.21.20 klo 02.30.00 ap.,22.198,51.087,,,,,
31,07.21.20 klo 03.00.00 ap.,22.198,51.062,,,,,
32,07.21.20 klo 03.30.00 ap.,22.198,51.038,,,,,
33,07.21.20 klo 04.00.00 ap.,22.198,51.062,,,,,
34,07.21.20 klo 04.30.00 ap.,22.198,51.087,,,,,
35,07.21.20 klo 05.00.00 ap.,22.155,51.087,,,,,
36,07.21.20 klo 05.30.00 ap.,22.155,51.087,,,,,
37,07.21.20 klo 06.00.00 ap.,22.155,51.038,,,,,
38,07.21.20 klo 06.30.00 ap.,22.112,51.111,,,,,
39,07.21.20 klo 07.00.00 ap.,22.155,51.087,,,,,
40,07.21.20 klo 07.30.00 ap.,22.155,51.087,,,,,
41,07.21.20 klo 08.00.00 ap.,22.112,51.038,,,,,
42,07.21.20 klo 08.30.00 ap.,22.155,51.013,,,,,
43,07.21.20 klo 09.00.00 ap.,22.155,51.013,,,,,
44,07.21.20 klo 09.30.00 ap.,22.112,50.965,,,,,
45,07.21.20 klo 10.00.00 ap.,22.027,50.867,,,,,
46,07.21.20 klo 10.30.00 ap.,21.984,50.842,,,,,
47,07.21.20 klo 11.00.00 ap.,21.898,50.794,,,,,
48,07.21.20 klo 11.30.00 ap.,21.898,50.794,,,,,
49,07.21.20 klo 12.00.00 ip.,21.898,50.720,,,,,
50,07.21.20 klo 12.30.00 ip.,21.898,50.720,,,,,
51,07.21.20 klo 01.00.00 ip.,21.898,50.672,,,,,
52,07.21.20 klo 01.30.00 ip.,21.984,50.647,,,,,
53,07.21.20 klo 02.00.00 ip.,21.941,50.647,,,,,
54,07.21.20 klo 02.30.00 ip.,21.984,50.647,,,,,
55,07.21.20 klo 03.00.00 ip.,21.941,50.647,,,,,
56,07.21.20 klo 03.30.00 ip.,21.984,50.672,,,,,
57,07.21.20 klo 04.00.00 ip.,21.984,50.647,,,,,
58,07.21.20 klo 04.30.00 ip.,21.984,50.623,,,,,
59,07.21.20 klo 05.00.00 ip.,21.984,50.623,,,,,
60,07.21.20 klo 05.30.00 ip.,21.984,50.598,,,,,
61,07.21.20 klo 06.00.00 ip.,21.898,50.598,,,,,
62,07.21.20 klo 06.30.00 ip.,21.898,50.598,,,,,
63,07.21.20 klo 07.00.00 ip.,21.898,50.672,,,,,
64,07.21.20 klo 07.30.00 ip.,21.898,50.647,,,,,
65,07.21.20 klo 08.00.00 ip.,21.941,50.745,,,,,
66,07.21.20 klo 08.30.00 ip.,21.941,50.720,,,,,
67,07.21.20 klo 09.00.00 ip.,21.855,50.745,,,,,
68,07.21.20 klo 09.30.00 ip.,21.855,50.720,,,,,
69,07.21.20 klo 10.00.00 ip.,21.898,50.720,,,,,
70,07.21.20 klo 10.30.00 ip.,21.855,50.696,,,,,
71,07.21.20 klo 11.00.00 ip.,21.898,50.696,,,,,
72,07.21.20 klo 11.30.00 ip.,21.855,50.647,,,,,
73,07.22.20 klo 12.00.00 ap.,21.898,50.623,,,,,
74,07.22.20 klo 12.30.00 ap.,21.855,50.647,,,,,
75,07.22.20 klo 01.00.00 ap.,21.898,50.549,,,,,
76,07.22.20 klo 01.30.00 ap.,21.855,50.598,,,,,
77,07.22.20 klo 02.00.00 ap.,21.898,50.549,,,,,
78,07.22.20 klo 02.30.00 ap.,21.855,50.525,,,,,
