site,T1,T2,T3
AIL101,0.1201,0,-0.0165
AIL102,0.0794,-0.1195,0
AIL103,0.074,0,-0.0654
AIL104,0,-0.1056,0.0219
AIL105,0.1558,-0.0513,0
AIL106,0.0086,-0.0445,0
AIL107,0.2618,0,-0.0114
AIL108,0.295,-0.0763,0
AIL109,0.2448,-0.0238,0
AIL110,0,0.0139,-0.0211
AIL111,0.0455,-0.0223,0
AIL112,-0.0929,0,0.0299
AIL113,0.1368,0,-0.1071
AIL114,0.0925,-0.0352,0
AIL115,0.1718,-0.1562,0
AIL116,0,0.0502,-0.127
AIL117,0.033,-0.0349,0
AIL118,-0.0671,0,0.0311
AIL119,-0.0016,0.1403,0
AIL120,0.0848,-0.0424,0
AIL121,0.0046,-0.0461,0
AIL122,0,8e-04,-0.1664
AIL123,0.245,0,-0.0131
AIL124,0.199,-0.0804,0
AIL125,0,-0.031,0.0653
AIL126,0,-0.1909,0.0179
AIL127,0,0.0318,-0.0173
AIL128,0.1117,-0.0918,0
AIL129,0.2583,0,-0.039
AIL130,0.2279,0,-0.0687
AIL131,0.1652,0,-0.0608
AIL132,0.148,-0.0374,0
AIL133,0.2341,0,-0.01
AIL134,0.0675,0,-0.0148
AIL135,0.1446,-0.066,0
AIL136,0.2451,0,-0.0795
AIL137,-0.0412,0,0.0099
AIL138,0.08,0,-0.1348
AIL139,0.1126,0,-0.0879
AIL140,0,0.0254,0
AIL141,0.0263,-0.0413,0
AIL142,0.1506,-0.0393,0
AIL143,0,-0.0809,0.1009
AIL144,0.1928,-0.0088,0
AIL145,0.1104,-0.04,0
AIL146,0,0.0038,-0.082
AIL147,0.2452,-0.0036,0
AIL148,0.0659,-0.032,0
AIL149,0.1115,-0.1138,0
AIL150,0,-0.0572,0.0036
AIL151,0.2535,0,-0.0964
AIL152,0,-0.0414,0.0382
AIL153,0.1664,-0.0501,0
AIL154,0.1812,-0.0058,0
AIL155,0.2398,-0.1814,0
AIL156,0.006,0,-0.0879
AIL157,0,-0.0214,0.0709
AIL158,0.0602,-0.0686,0
AIL159,0.2176,-0.1612,0
AIL160,0.1338,-0.1327,0
AIL161,0.0639,0,-0.2496
AIL162,0.258,0,-0.0147
AIL163,-0.0368,0,0.0218
AIL164,0,0.0013,-0.1136
AIL165,-0.0305,0.011,0
AIL166,0.0782,-0.0447,0
AIL167,0.1069,-0.1526,0
AIL168,0,-0.1791,0.0943
AIL169,0,0.1032,-0.0819
AIL170,0.0153,-0.0431,0
AIL171,0,-0.044,0.1169
AIL172,0.0201,-0.158,0
AIL173,0.0584,0,-0.0829
AIL174,0.1497,0,-0.0279
AIL175,0.2347,0,-0.0299
AIL176,-0.0253,0.0252,0
AIL177,0.0625,-0.0617,0
AIL178,0.1029,0,-0.0082
AIL179,0.223,-0.0118,0
AIL180,0,-0.0898,0.0577
AIL181,0,0.0135,-0.0248
AIL182,0,0.0288,-0.0896
AIL183,0,0.0299,-0.0929
AIL184,0.0975,0,-0.0061
AIL185,0.2444,0,-0.0288
AIL186,0.0209,-0.144,0
AIL187,0.2955,0,-0.0547
AIL188,0.0951,-0.0855,0
AIL189,0.0922,0,-0.0028
AIL190,0.1516,-0.0908,0
AIL191,0.0703,0,-0.1228
AIL192,0.153,-0.1146,0
AIL193,0.1264,-4e-04,0
AIL194,0,-0.0148,0.0619
AIL195,0.1266,0,-0.0403
AIL196,0.2086,0,-0.0716
AIL197,0,-0.0489,0.0813
AIL198,0.3544,0,-0.0223
AIL199,0.1358,-0.0789,0
AIL200,0,-0.0671,0.0079
MAL001,0.2249,-0.0292,0
MAL002,0.0934,-0.1229,0
MAL003,0.1368,0,-0.0368
MAL004,0.0318,-0.0789,0
MAL005,0.1421,0,-0.0767
MAL006,0.1438,-0.09,0
MAL007,0.1547,-0.056,0
MAL008,0.1285,-0.0549,0
MAL009,0.1678,-0.1306,0
MAL010,0.0693,0,-0.1338
MAL011,0.234,-0.0538,0
MAL012,0.1618,-0.0876,0
MAL013,0,0.0129,-0.0642
MAL014,0.0938,0,-0.0435
MAL015,0.2446,-0.0558,0
MAL016,0.1106,-0.0812,0
MAL017,0.1452,-0.0974,0
MAL018,0.2025,-0.0169,0
MAL019,0.149,-0.0971,0
MAL020,0.206,0,-0.0643
MAL021,0,0.0254,-0.1194
MAL022,0.022,-0.0758,0
MAL023,0.1142,0,-0.0625
MAL024,0.0015,-0.0757,0
MAL025,0.2188,-0.0238,0
MAL026,0.1034,0,-0.0199
MAL027,0.2063,-0.1299,0
MAL028,0.1244,0,-0.2261
MAL029,0.2542,-0.0171,0
MAL030,0.178,0,-0.1343
MAL031,0.0406,0,-0.0286
MAL032,0.1381,0,-0.0915
MAL033,-0.0524,0.1224,0
MAL034,0.1076,0,-0.0964
MAL035,0,-0.0094,0.0599
MAL036,0.0917,0,-0.1381
MAL037,0.1706,-0.0099,0
MAL038,0.08,0,-0.0535
MAL039,0.0139,0,-0.1361
MAL040,0.1375,-0.1244,0
MAL041,0.292,-0.0628,0
MAL042,0.1428,0,-0.0503
MAL043,0,0.0571,-0.005
MAL044,0.2679,-0.0389,0
MAL045,0.1345,0,-0.0306
MAL046,0.219,-0.0346,0
MAL047,0.2658,0,-0.1478
MAL048,0.1863,-0.04,0
MAL049,0.0953,-0.0706,0
MAL050,0.0361,0,-0.04
MAL051,0.1169,0,-0.1157
MAL052,0.0738,-0.0716,0
MAL053,0.2498,0,-0.0557
MAL054,0.0837,0,-0.0257
MAL055,0.1734,0,-0.0706
MAL056,0.0856,-0.0928,0
MAL057,0.1252,0,-0.0495
MAL058,0,0.0172,-0.0841
MAL059,0.1858,-0.0429,0
MAL060,0,-0.0394,0.0432
MAL061,0,-0.0482,0.0713
MAL062,0.1396,-0.1008,0
MAL063,-0.0041,0.1719,0
MAL064,0.0284,0,-0.0693
MAL065,0.0984,0,-0.0958
MAL066,0,-0.1015,0.0375
MAL067,0.1029,0,-0.1701
MAL068,0.1689,-0.1541,0
MAL070,0.0179,-0.0194,0
MAL071,0.2411,0,-0.0765
MAL072,0.1725,0,-0.0308
MAL073,0.1641,-0.0499,0
MAL074,0.1502,0,-0.0903
MAL075,0.105,0,-0.0583
MAL076,0.2115,-0.1515,0
MAL077,0,0.0894,-0.0142
MAL078,0.1904,0,-0.0365
MAL079,0.1325,0,-0.1149
MAL080,0.0935,0,-0.1246
MAL081,0.1379,0,-0.0388
MAL082,0,0.0088,-0.0416
MAL083,0.2532,-0.1368,0
MAL084,0.0838,-0.0772,0
MAL085,0.1401,0,-0.0302
MAL086,0.1753,0,-1e-04
MAL087,0.2663,-0.0984,0
MAL088,0.0488,0,-0.177
