site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
AIL101,2020,366,1,366,214,200,2,2019-10-24,2020-05-30,151,6,98,124,153,153,1,2019-12-30,2020-05-30,151,132,118,2,2020-01-12,2020-05-27,148
AIL101,2021,354,1,355,215,215,1,2020-10-17,2021-05-19,139,10,120,160,163,151,2,2020-11-05,2021-05-19,139,117,45,4,2020-12-29,2021-05-17,137
AIL102,2020,366,1,366,217,199,2,2019-10-21,2020-05-29,150,4,96,192,170,170,1,2019-12-12,2020-05-29,150,138,138,1,2020-01-08,2020-05-24,145
AIL102,2021,354,1,355,217,217,1,2020-10-15,2021-05-19,139,8,114,164,125,113,2,2020-11-05,2021-05-19,139,57,31,2,2021-03-13,2021-05-17,137
AIL103,2020,366,1,366,228,228,1,2019-10-21,2020-06-04,156,6,92,110,176,176,1,2019-12-12,2020-06-04,156,160,160,1,2019-12-30,2020-06-06,158
AIL103,2021,354,1,355,224,224,1,2020-10-17,2021-05-28,148,70,76,96,202,189,2,2020-11-05,2021-05-28,148,132,132,1,2021-01-18,2021-05-29,149
AIL104,2020,366,1,366,225,225,1,2019-10-21,2020-06-01,153,10,112,191,173,173,1,2019-12-12,2020-06-01,153,140,140,1,2020-01-08,2020-05-26,147
AIL104,2021,354,1,355,219,219,1,2020-10-15,2021-05-21,141,14,110,243,130,92,4,2020-11-05,2021-05-21,141,47,32,2,2021-03-24,2021-05-17,137
AIL105,2020,347,1,348,249,249,1,2019-09-30,2020-06-04,156,6,70,136,189,189,1,2019-11-29,2020-06-04,156,148,130,2,2020-01-08,2020-06-04,156
AIL106,2020,366,1,366,223,223,1,2019-10-17,2020-05-26,147,4,108,128,149,149,1,2019-12-30,2020-05-26,147,71,13,7,2020-01-11,2020-05-17,138
AIL106,2021,354,1,355,222,189,2,2020-10-15,2021-05-25,145,8,171,156,133,99,3,2020-12-30,2021-05-25,145,71,47,2,2021-02-28,2021-05-10,130
AIL107,2020,366,1,366,250,250,1,2019-09-30,2020-06-05,157,6,68,158,149,137,2,2019-12-13,2020-06-05,157,123,123,1,2020-02-03,2020-06-04,156
AIL107,2021,354,1,355,215,215,1,2020-10-15,2021-05-17,137,18,118,140,34,13,3,2020-10-24,2021-04-07,97,9,9,1,2021-03-28,2021-04-05,95
AIL108,2020,360,1,361,228,171,2,2019-10-08,2020-05-30,151,4,82,100,33,12,3,2020-02-26,2020-05-02,123,0,0,0,NA,NA,0
AIL109,2020,366,1,366,230,230,1,2019-10-08,2020-05-24,145,10,104,210,102,35,4,2020-01-25,2020-05-21,142,0,0,0,NA,NA,0
AIL109,2021,354,1,355,213,194,2,2020-10-15,2021-05-16,136,18,116,258,11,11,1,2020-11-05,2020-11-15,320,0,0,0,NA,NA,0
AIL110,2020,366,1,366,238,238,1,2019-09-30,2020-05-24,145,4,126,164,194,101,5,2019-10-01,2020-05-24,145,38,15,3,2019-12-15,2020-04-16,107
AIL110,2021,354,1,355,215,215,1,2020-10-15,2021-05-17,137,56,178,232,101,66,3,2020-12-14,2021-05-17,137,11,11,1,2021-03-28,2021-04-07,97
AIL111,2020,366,1,366,239,239,1,2019-10-08,2020-06-02,154,8,64,122,214,203,2,2019-10-27,2020-06-02,154,158,158,1,2019-12-30,2020-06-04,156
AIL111,2021,354,1,355,222,222,1,2020-10-16,2021-05-25,145,16,34,160,215,215,1,2020-10-23,2021-05-25,145,162,150,2,2020-11-06,2021-05-22,142
AIL112,2020,366,1,366,217,217,1,2019-10-20,2020-05-23,144,14,76,146,164,164,1,2019-12-12,2020-05-23,144,121,111,2,2020-01-11,2020-05-18,139
AIL112,2021,354,1,355,175,151,3,2020-10-21,2021-04-18,108,30,142,214,59,20,3,2021-01-25,2021-04-16,106,0,0,0,NA,NA,0
AIL113,2020,366,1,366,234,234,1,2019-10-08,2020-05-28,149,18,72,166,169,169,1,2019-12-12,2020-05-28,149,147,147,1,2019-12-30,2020-05-24,145
AIL113,2021,354,1,355,215,215,1,2020-10-15,2021-05-17,137,14,104,160,106,94,2,2020-11-05,2021-05-17,137,38,23,2,2021-02-26,2021-04-07,97
AIL114,2020,366,1,366,227,227,1,2019-10-21,2020-06-03,155,4,454,163,185,185,1,2019-12-02,2020-06-03,155,174,174,1,2019-12-12,2020-06-02,154
AIL114,2021,354,1,355,228,228,1,2020-10-17,2021-06-01,152,68,108,135,209,209,1,2020-11-05,2021-06-01,152,144,124,3,2020-11-07,2021-05-30,150
AIL115,2020,366,1,366,246,246,1,2019-09-30,2020-06-01,153,2,72,158,201,201,1,2019-11-14,2020-06-01,153,167,154,2,2019-12-13,2020-05-31,152
AIL115,2021,354,1,355,231,231,1,2020-10-15,2021-06-02,153,24,78,82,210,156,2,2020-10-23,2021-06-02,153,166,154,2,2020-11-06,2021-06-01,152
AIL116,2020,366,1,366,232,232,1,2019-10-21,2020-06-08,160,10,117,189,222,208,2,2019-10-25,2020-06-08,160,178,178,1,2019-12-13,2020-06-07,159
AIL116,2021,354,1,355,231,231,1,2020-10-15,2021-06-02,153,56,119,135,221,195,2,2020-10-22,2021-06-02,153,165,121,4,2020-11-06,2021-06-01,152
AIL117,2020,366,1,366,227,227,1,2019-10-08,2020-05-21,142,4,170,256,11,11,1,2020-01-27,2020-02-06,37,0,0,0,NA,NA,0
AIL117,2021,354,1,355,202,112,3,2020-10-15,2021-05-09,129,20,156,298,0,0,0,NA,NA,0,0,0,0,NA,NA,0
AIL118,2020,366,1,366,197,162,3,2019-10-26,2020-05-19,140,12,194,202,0,0,0,NA,NA,0,0,0,0,NA,NA,0
AIL118,2021,354,1,355,174,84,3,2020-10-21,2021-04-16,106,12,212,254,9,9,1,2020-12-26,2021-01-03,3,0,0,0,NA,NA,0
AIL119,2020,366,1,366,44,12,4,2019-10-27,2020-02-06,37,8,246,282,0,0,0,NA,NA,0,0,0,0,NA,NA,0
AIL119,2021,354,1,355,154,96,4,2020-10-17,2021-04-06,96,20,190,290,0,0,0,NA,NA,0,0,0,0,NA,NA,0
AIL120,2020,366,1,366,241,241,1,2019-09-30,2020-05-27,148,10,74,164,180,168,2,2019-11-14,2020-05-27,148,46,14,4,2020-03-12,2020-05-17,138
AIL120,2021,354,1,355,218,218,1,2020-10-14,2021-05-19,139,20,104,184,209,209,1,2020-10-23,2021-05-19,139,48,16,4,2020-12-11,2021-05-15,135
AIL121,2020,366,1,366,239,239,1,2019-10-08,2020-06-02,154,8,50,106,157,157,1,2019-12-29,2020-06-02,154,140,121,2,2020-01-08,2020-06-01,153
AIL121,2021,359,1,360,224,224,1,2020-10-18,2021-05-29,149,2,36,124,165,153,2,2020-11-04,2021-05-29,149,82,82,1,2021-03-05,2021-05-25,145
AIL122,2020,366,1,366,245,245,1,2019-10-08,2020-06-08,160,42,84,112,220,208,2,2019-10-27,2020-06-08,160,192,177,2,2019-11-15,2020-06-07,159
AIL122,2021,359,1,360,231,231,1,2020-10-15,2021-06-02,153,70,80,120,219,178,3,2020-10-24,2021-06-02,153,170,170,1,2020-12-14,2021-06-01,152
AIL123,2020,366,1,366,226,226,1,2019-10-21,2020-06-02,154,2,124,178,173,173,1,2019-12-13,2020-06-02,154,147,96,2,2019-12-30,2020-05-31,152
AIL123,2021,354,1,355,228,228,1,2020-10-17,2021-06-01,152,4,98,148,183,130,3,2020-11-05,2021-06-01,152,114,92,3,2020-11-07,2021-05-30,150
AIL124,2020,366,1,366,239,239,1,2019-10-05,2020-05-30,151,4,130,182,171,171,1,2019-12-12,2020-05-30,151,158,144,2,2019-12-13,2020-05-26,147
