site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
AIL101,2019,8,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,9.88,12,7.94,10.63,9.08,10.78,19.38,3.56,14.43,6.76,11.42,25.39,2.27,17.12,6.32,3.78,0.14,26.5,26.4,39.1,14,158.05,158.05,158.05,0,16,16,16,0,172.49,172.49,172.49,0,16,16,16,0,182.78,182.78,182.78,0,16,16,16,0
AIL101,2019,9,1,1,1,0.9333333333333333,5.12,11.38,0.88,5.77,4.55,3.96,15.31,-5.06,7.21,0.9,4.28,19.39,-8.17,9.22,-0.24,1.86,0.07,27.8,27.6,35.5,24.4,153.48,135.76,107.34,0,30,21,14,0,122.52,106.76,85.46,-3.81,25,15,10,5,132.27,122.47,98.23,-3.86,26,17,11,4
AIL101,2019,10,1,1,1,0.0967741935483871,-0.78,2.25,-4.18,-0.52,-1.08,-3.84,2.75,-13,-1.9,-6.12,-5.1,3.77,-18.23,-1.92,-8.97,2.27,0.08,28.3,27.8,30.3,25.2,9.91,0,0,-33.95,12,0,0,19,2.1,0,0,-121.2,3,0,0,28,3.64,0,0,-161.84,4,0,0,27
AIL101,2019,11,1,1,1,0,-3.25,-1.75,-6.75,-2.9,-3.59,-7.47,-1.81,-17.5,-5.73,-9.28,-11.59,-1.36,-26.23,-8.07,-15.47,NA,NA,NA,NA,NA,NA,0,0,0,-97.52,0,0,0,30,0,0,0,-224.07,0,0,0,30,0,0,0,-347.73,0,0,0,30
AIL101,2019,12,1,1,1,0,-2.41,-1.62,-4.12,-2.26,-2.56,-3.75,-1.44,-8.31,-3.28,-4.27,-5.88,-0.8,-16.61,-4.68,-7.2,NA,NA,NA,NA,NA,NA,0,0,0,-74.73,0,0,0,31,0,0,0,-116.23,0,0,0,31,0,0,0,-182.26,0,0,0,31
AIL101,2020,1,1,1,1,0,-2.04,-1.62,-2.68,-1.99,-2.09,-2.92,-1.75,-4.25,-2.76,-3.08,-4.28,-1.86,-6.86,-3.93,-4.62,NA,NA,NA,NA,NA,NA,0,0,0,-63.24,0,0,0,31,0,0,0,-90.56,0,0,0,31,0,0,0,-132.59,0,0,0,31
AIL101,2020,2,1,1,1,0,-2,-1.75,-2.56,-1.97,-2.02,-2.54,-2.12,-3.5,-2.48,-2.6,-3.35,-2.73,-4.86,-3.26,-3.44,NA,NA,NA,NA,NA,NA,0,0,0,-58.05,0,0,0,29,0,0,0,-73.73,0,0,0,29,0,0,0,-97.11,0,0,0,29
AIL101,2020,3,1,1,1,0,-1.89,-1.5,-2.25,-1.87,-1.92,-2.31,-1.62,-3,-2.25,-2.35,-3,-1.92,-4.05,-2.92,-3.08,NA,NA,NA,NA,NA,NA,0,0,0,-58.7,0,0,0,31,0,0,0,-71.48,0,0,0,31,0,0,0,-92.93,0,0,0,31
AIL101,2020,4,1,1,1,0,-1.47,-1,-1.87,-1.45,-1.5,-1.63,-0.75,-2.38,-1.58,-1.69,-2.06,-0.73,-3.11,-1.98,-2.15,NA,NA,NA,NA,NA,NA,0,0,0,-44.11,0,0,0,30,0,0,0,-48.92,0,0,0,30,0,0,0,-61.79,0,0,0,30
AIL101,2020,5,1,1,1,0,-0.7,-0.25,-1.12,-0.68,-0.72,-0.42,7.31,-1.25,-0.22,-0.57,-0.34,11.39,-1.73,0.09,-0.71,NA,NA,NA,NA,NA,NA,0,0,0,-21.76,0,0,0,31,3.14,3.01,0,-16.2,2,1,0,29,8.19,6.01,6.01,-18.75,5,1,1,26
AIL101,2020,6,1,1,1,0.9333333333333333,5.59,11.25,-0.31,7.22,4.7,9.95,25.38,-0.5,16.75,3.43,11.15,27.64,-1.61,18.73,2.91,5.78,0.35,16.4,16.6,26.8,7.9,167.83,158.99,128.58,-0.04,29,25,17,1,298.46,298.46,294.26,0,30,30,29,0,334.48,334.48,330.77,0,30,30,29,0
AIL101,2020,7,1,1,1,1,8.47,12.88,3.75,9.48,7.67,10.37,20.5,0.5,15.08,6.07,11.16,25.64,-0.73,17.58,5.36,2.75,0.11,24,24.2,33.6,15.3,262.49,262.49,248.61,0,31,31,28,0,321.48,321.48,312.31,0,31,31,29,0,346.02,346.02,337.87,0,31,31,29,0
AIL101,2020,8,1,1,1,1,8.94,13.13,3.38,10.03,8.05,9.42,23.31,-3.62,15.48,4.17,9.92,29.64,-4.23,17.41,3.53,2.94,0.16,17,17.8,29.6,-1.4,277.14,277.14,272.57,0,31,31,30,0,292.05,292.05,281.06,0,31,31,28,0,307.52,307.52,295.54,0,31,31,28,0
AIL101,2020,9,1,1,1,0.9333333333333333,4.78,9.5,0.75,5.6,4.08,4.59,17.56,-6.75,8.95,0.88,4.97,19.02,-7.98,10.05,0.7,1.36,0.08,17.5,17.4,26.2,14.3,143.42,131.03,86.79,0,30,24,13,0,140.81,121.99,101.98,-3.01,28,19,14,2,151.28,128.79,107.48,-2.14,29,19,14,1
AIL101,2020,10,1,1,1,0.5483870967741935,2.17,6.07,-0.37,2.44,1.91,0.75,11.5,-8.88,2.47,-1.03,-0.2,14.45,-12.17,2.08,-2.66,1.06,0.06,17.6,17.6,21.2,16,70.3,59.32,37.42,-2.91,19,12,7,12,64.97,59.11,51.18,-41.7,15,10,8,16,67.63,61.3,53.27,-73.7,16,10,8,15
AIL101,2020,11,1,1,1,0,-0.51,-0.12,-1.75,-0.42,-0.6,-2.31,0.5,-10.12,-1.14,-3.85,-3.22,2.52,-14.42,-1.15,-5.82,NA,NA,NA,NA,NA,NA,0,0,0,-15.33,0,0,0,30,0.17,0,0,-69.51,1,0,0,29,1.73,0,0,-98.39,3,0,0,27
AIL101,2020,12,1,1,1,0,-1.54,-0.87,-2.25,-1.42,-1.67,-2.68,-1.25,-6.56,-2.17,-3.35,-5.03,-1.55,-17.48,-3.54,-6.9,NA,NA,NA,NA,NA,NA,0,0,0,-47.71,0,0,0,31,0,0,0,-83.08,0,0,0,31,0,0,0,-155.9,0,0,0,31
AIL101,2021,1,1,1,1,0,-1.97,-1.31,-2.5,-1.92,-2.02,-2.68,-1.56,-3.62,-2.58,-2.77,-4.08,-2.23,-5.61,-3.88,-4.28,NA,NA,NA,NA,NA,NA,0,0,0,-61.01,0,0,0,31,0,0,0,-83.04,0,0,0,31,0,0,0,-126.37,0,0,0,31
AIL101,2021,2,1,1,1,0,-2.47,-2,-3,-2.43,-2.53,-3.19,-2.38,-4.12,-3.08,-3.31,-4.49,-2.92,-6.11,-4.27,-4.74,NA,NA,NA,NA,NA,NA,0,0,0,-69.3,0,0,0,28,0,0,0,-89.36,0,0,0,28,0,0,0,-125.63,0,0,0,28
AIL101,2021,3,1,1,1,0,-2.01,-1.37,-2.56,-1.96,-2.07,-2.39,-1.38,-3.5,-2.3,-2.52,-3.2,-1.61,-5.23,-3,-3.45,NA,NA,NA,NA,NA,NA,0,0,0,-62.31,0,0,0,31,0,0,0,-74.09,0,0,0,31,0,0,0,-99.09,0,0,0,31
AIL101,2021,4,1,1,1,0,-1.06,-0.56,-1.87,-1.01,-1.11,-1.1,-0.12,-2.62,-0.98,-1.25,-1.51,0.02,-4.05,-1.28,-1.81,NA,NA,NA,NA,NA,NA,0,0,0,-31.9,0,0,0,30,0,0,0,-33.15,0,0,0,30,0,0,0,-45.45,0,0,0,30
AIL101,2021,5,1,1,1,0,-0.39,2.25,-1.12,-0.2,-0.55,0.93,14.12,-2.75,3.02,-0.82,0.92,11.64,-3.67,3.06,-1.04,NA,NA,NA,NA,NA,NA,2.64,0,0,-14.71,5,0,0,26,40.21,34.06,17.19,-11.25,13,7,3,18,43.52,33.33,11.55,-14.93,19,7,2,12
AIL101,2021,6,1,1,1,1,6.24,10.13,1,7.78,5.01,11.2,26.62,-2.25,20.08,2.64,11.1,25.45,-2.36,18.74,2.7,1.92,0.16,11.6,12.1,17.9,8.2,187.31,184.63,170.86,0,30,29,26,0,336.09,336.09,336.09,0,30,30,30,0,333.1,333.1,333.1,0,30,30,30,0
AIL101,2021,7,1,1,1,1,10.07,15.57,5.88,11.66,8.86,13.69,35.44,1.56,22.58,6.39,13.71,34.45,1.39,21.51,6.4,1.43,0.18,7.5,7.8,14.7,5.1,312.28,312.28,312.28,0,31,31,31,0,424.44,424.44,424.44,0,31,31,31,0,425.02,425.02,425.02,0,31,31,31,0
AIL101,2021,8,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806,9.36,12.94,5.57,10.69,8.18,10.87,26.25,-1.81,18.24,4.55,10.83,26.77,-2.36,17.77,4.56,2.27,0.26,7.9,8.6,20.5,5.5,187.28,187.28,187.28,0,20,20,20,0,217.5,217.5,217.5,0,20,20,20,0,216.55,216.55,216.55,0,20,20,20,0
AIL102,2019,8,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,10.47,13.11,8.17,11.6,9.44,11.25,23.99,3.87,16.93,6.9,11.41,25.38,3.12,17.27,6.44,4.57,0.15,32.7,31.4,40.3,17.2,167.56,167.56,167.56,0,16,16,16,0,180.07,180.07,180.07,0,16,16,16,0,182.57,182.57,182.57,0,16,16,16,0
AIL102,2019,9,1,1,1,1,5.74,12.36,1.42,6.54,5.02,4.55,19.62,-4.88,10.1,0.86,4.47,21.38,-7.25,10.37,-0,1.25,0.04,32.9,32.9,39.3,30.3,172.18,156.55,123.95,0,30,23,15,0,138.38,128.64,99.31,-2.02,25,18,11,5,136.87,126.18,100.52,-2.76,25,17,11,5
AIL102,2019,10,1,1,1,0.06451612903225806,-0.68,1.98,-3.95,-0.47,-0.92,-3.75,2.93,-12.63,-1.45,-6.24,-5.11,3.75,-18.25,-1.59,-9.03,0.52,0.02,33.5,33.5,34.4,32.4,9.87,0,0,-30.88,14,0,0,17,0.76,0,0,-117.09,2,0,0,29,2.12,0,0,-160.43,3,0,0,28
AIL102,2019,11,1,1,1,0,-4.46,-2.7,-8.33,-4.02,-4.89,-7.83,-2.32,-17.38,-6.18,-9.52,-11.4,-1,-25.12,-7.53,-15.74,NA,NA,NA,NA,NA,NA,0,0,0,-133.78,0,0,0,30,0,0,0,-234.76,0,0,0,30,0,0,0,-342.06,0,0,0,30
AIL102,2019,12,1,1,1,0,-3.02,-2.39,-4.27,-2.89,-3.15,-4.03,-2.26,-6.94,-3.65,-4.43,-5.99,-1.62,-13.06,-4.92,-7.18,NA,NA,NA,NA,NA,NA,0,0,0,-93.48,0,0,0,31,0,0,0,-124.81,0,0,0,31,0,0,0,-185.79,0,0,0,31
AIL102,2020,1,1,1,1,0,-2.3,-2.02,-2.64,-2.25,-2.35,-3.06,-2.38,-3.82,-2.93,-3.19,-4.4,-2.5,-6,-4.09,-4.71,NA,NA,NA,NA,NA,NA,0,0,0,-71.39,0,0,0,31,0,0,0,-94.76,0,0,0,31,0,0,0,-136.34,0,0,0,31
AIL102,2020,2,1,1,1,0,-2.45,-2.2,-2.64,-2.42,-2.48,-3.27,-2.69,-3.76,-3.19,-3.35,-4.64,-3.5,-5.75,-4.47,-4.82,NA,NA,NA,NA,NA,NA,0,0,0,-70.91,0,0,0,29,0,0,0,-94.69,0,0,0,29,0,0,0,-134.58,0,0,0,29
AIL102,2020,3,1,1,1,0,-2.19,-1.64,-2.7,-2.15,-2.22,-2.7,-1.76,-3.63,-2.62,-2.79,-3.59,-2,-5.25,-3.44,-3.79,NA,NA,NA,NA,NA,NA,0,0,0,-67.89,0,0,0,31,0,0,0,-83.82,0,0,0,31,0,0,0,-111.36,0,0,0,31
